"sex","age","Computer","TV","Cellphone","Software","Frequency3","Monetary3","Monetary60"
0,38,3,2,0,2,7,1461987.50653193,5125183.57608096
1,16,5,2,2,2,11,2371709.68485984,2388399.49276255
0,17,2,1,2,3,8,2069010.83133542,5072800.07958173
0,17,0,0,2,6,8,2251652.48043982,7325105.83024392
1,32,5,3,2,0,10,1780357.4054852,3834650.08960531
1,35,0,1,2,6,9,1312032.20446737,5115914.57696724
0,34,6,2,1,4,13,2334178.61984386,9033354.8301614
0,38,0,1,0,7,8,1933916.70302059,4939813.25941212
0,34,6,2,1,7,16,2776008.05045506,7988211.71077575
1,23,3,2,0,2,7,1956083.51636515,2857529.88985445
0,13,3,0,1,1,5,1100689.80155342,3957303.89260404
0,33,6,2,1,5,14,2528653.34690937,12172203.9139117
1,38,5,3,1,6,15,3307922.27638883,8503945.88750652
1,23,0,2,1,4,7,2059712.19090923,6187662.80853225
0,12,3,3,0,0,6,1088851.97934912,4920659.41877768
0,11,2,3,1,4,10,1905037.41545565,4720320.41610679
1,22,2,2,0,3,7,1552400.2876604,6404166.35263538
1,11,3,1,0,5,9,1944377.12546593,7930457.80769462
0,39,2,1,0,5,8,1963401.29830995,988297.447323726
0,29,5,0,1,0,6,1566120.27522842,5166532.85587455
0,22,4,2,0,3,9,2451312.27073834,6501167.62688956
0,11,1,2,1,4,8,1825279.88330192,2610638.25499527
0,17,2,3,0,5,10,1524725.24135237,4529795.305421
0,36,4,3,2,2,11,1107070.48486377,6955332.27610827
0,19,1,0,2,7,10,1692167.99564241,5970466.29885043
0,30,2,0,2,7,11,2042027.2449047,9517936.75130584
0,40,4,1,0,6,11,2109930.28976082,7431718.99622165
1,14,6,0,0,3,9,2334298.30750444,8748868.20189854
1,32,2,2,2,4,10,1558256.58362303,3852478.80137061
0,40,4,1,1,3,9,1995092.69989758,4082146.90377437
0,23,3,0,2,4,9,1923627.2859283,8519841.41141739
1,22,5,1,0,4,10,1960535.69311326,5323888.32655013
1,10,2,3,0,2,7,1688103.99582865,6358649.38294195
0,19,1,2,0,4,7,1811467.35733013,4552609.37074859
0,28,2,1,0,7,10,2106368.48826289,5739596.57639782
0,10,5,0,0,6,11,2598930.10295323,6167797.21818125
1,22,6,0,1,5,12,2764209.23909197,6565135.19770861
0,25,6,2,2,4,14,2585781.37715042,5610547.27100498
1,27,2,3,2,7,14,2636524.64015452,5977921.33309814
0,35,1,1,1,7,10,2273908.62604259,8835267.22045134
0,27,5,1,0,0,6,1203303.4591715,5563942.85427563
1,20,1,1,2,3,7,1809632.06694786,4199189.49144286
0,11,0,2,0,7,9,1604065.13793186,3332589.53138554
0,20,5,0,2,7,14,2676122.3283656,6869674.39958664
1,33,5,2,0,7,14,1658899.97346278,6945896.73191118
0,37,4,1,1,7,13,2549851.08695476,6416164.46506495
0,18,3,1,2,7,13,2029490.87880657,4408353.40309197
0,40,6,2,1,2,11,2603904.65397837,5435496.05037249
0,11,6,0,0,1,7,1648813.11892863,5870210.69552608
0,16,1,0,0,6,7,1616142.74149274,6898191.66855756
0,40,3,3,1,3,10,1609153.09276562,2065382.08150541
0,17,4,0,2,1,7,1837889.52725726,4144527.5733083
1,32,3,2,1,1,7,1112572.97779961,7163729.00726063
0,32,0,2,2,7,11,2495355.62752787,6894900.91228479
0,38,6,0,1,2,9,2337350.55510828,7951924.40957509
0,13,1,2,1,6,10,2073412.44124163,5696390.36468364
1,23,1,0,1,5,7,1866982.68952767,5894804.13239842
0,14,4,2,1,2,9,1576059.76406354,3994383.95977923
0,39,3,0,2,3,8,1890618.48874894,2723742.18341894
1,12,5,0,1,6,12,2296346.87956354,7312946.64941676
1,10,6,0,1,1,8,1805722.96637122,7328665.34630266
0,12,4,2,2,4,12,2616010.89158515,3920668.16138224
1,29,6,0,0,3,9,1538167.52177591,6945554.10298747
1,34,5,0,0,3,8,1893578.50026655,10077798.4355658
1,18,2,0,1,7,10,2146455.1126627,6220656.39503631
0,23,5,3,1,1,10,2072345.68136403,7120102.91715983
1,26,2,2,2,5,11,2886260.35037047,6465402.40021806
0,32,5,2,2,4,13,2354346.95779186,3777318.43736255
0,24,1,3,0,7,11,2249513.16556326,5369772.68947997
1,26,0,1,2,1,4,1414625.71071863,4164956.05985867
0,28,6,2,1,2,11,1825289.99025931,7556347.0424972
1,27,0,3,0,5,8,1701875.16378713,5471717.61190967
0,12,0,0,0,7,7,1930310.56451123,1133093.20104079
1,25,3,1,1,2,7,2036204.43761034,4877650.06649242
0,14,2,2,1,0,5,1554942.19431824,2444391.87146318
0,31,6,2,1,6,15,2762861.04654642,4568432.01518589
0,17,1,1,0,1,3,1634131.63102887,4373904.56180705
0,33,0,3,0,2,5,2062834.67708501,3018219.06249917
0,38,4,2,2,4,12,2023534.35259416,10435809.1192271
0,24,5,2,2,7,16,3607984.41696841,10617119.7584569
0,37,4,0,2,6,12,2520257.31226644,7259324.17126278
0,27,0,0,0,3,3,1420427.73645563,7435216.23547853
0,12,1,1,0,6,8,1748167.16125858,5547858.2598737
0,12,3,0,0,6,9,1578436.55401264,3791812.42387413
0,35,3,0,0,3,6,1393335.42437299,5498666.68337572
0,11,6,1,2,0,9,2233302.24176501,6711440.59412718
0,15,0,0,0,7,7,1319398.62932098,7013245.91181477
1,14,1,3,2,2,8,1746819.26678537,571143.527709728
0,22,5,1,2,0,8,1811872.01440456,6173845.72735297
1,24,2,1,1,5,9,1088438.78601843,5160080.97229918
0,11,3,2,2,0,7,1619330.51706412,8648457.65435556
1,38,2,0,0,7,9,1756688.45187512,6556835.76012831
1,21,6,3,2,2,13,1743557.8910671,7585943.84833465
1,15,2,2,2,6,12,2168368.52843138,4754888.95404702
1,38,1,0,0,1,2,875676.363005884,4776145.19041439
0,14,2,0,1,1,4,1311028.48424992,3134831.51129438
1,32,5,3,2,7,17,2836877.89920519,7844367.0221049
1,17,6,0,2,3,11,1858167.80907476,7435574.76425308
0,19,5,1,2,1,9,1448572.19865246,6939604.21386106
0,20,6,2,2,0,10,2442468.89737144,6682549.31115931
0,35,6,1,0,6,13,1882069.94023159,5320908.06139543
0,27,2,2,2,3,9,1604998.82927296,3243086.03553067
1,24,3,2,1,6,12,2625838.26893888,6605195.37729698
0,38,3,0,0,1,4,1633925.89658713,5266560.16403519
0,18,5,0,2,6,13,2078819.9410436,5864192.84396933
0,32,5,2,2,0,9,1432644.54475134,5439322.62185566
0,40,5,1,1,7,14,2510940.39874899,9093730.97217007
0,39,2,3,1,2,8,1879446.18093014,4686517.42595776
0,29,4,1,0,2,7,1702451.64735252,4019794.75687967
1,20,4,1,1,1,7,1769010.1122349,6057238.69547401
0,35,5,2,2,7,16,3027156.82969109,6954241.4074194
0,10,3,2,1,6,12,2144273.13157376,3214279.37023119
1,35,0,1,2,7,10,2288955.83312458,5605921.85114463
0,40,0,3,1,3,7,1758027.77947439,7110915.90323954
0,12,1,0,0,1,2,1139923.65546734,2145691.53519959
0,19,2,2,0,6,10,2036551.26528147,5019487.38346319
0,19,2,3,2,7,14,2143080.62562604,7549350.14749364
0,20,2,0,1,2,5,1174646.52861765,2534356.42523165
0,14,2,2,0,6,10,1738760.38131877,3366137.5432645
1,29,3,2,1,7,13,2638787.18805506,5865034.24917873
0,35,6,2,2,7,17,2704500.65629896,7037075.95815797
1,37,6,1,0,4,11,2081123.6532894,5520781.54837351
0,32,6,1,1,2,10,2293377.84797133,5618189.54785133
0,40,2,1,2,3,8,1978159.73429359,6742533.00538801
1,12,5,3,2,7,17,2732705.87648416,8508461.38615901
0,15,2,3,0,5,10,1965437.27234,8734839.20866349
0,16,5,1,2,3,11,2041969.34267448,4745903.17260826
0,13,1,1,2,4,8,1417369.87948341,8067199.97265029
0,33,2,0,2,7,11,1358807.9795164,6948872.80119059
1,32,4,0,2,0,6,1175661.13855105,2523834.40342416
0,30,1,0,0,6,7,1715194.37265419,5369600.67328307
0,19,4,0,2,3,9,1676439.00559235,5779699.39700878
0,13,4,0,0,3,7,1615644.06728841,3903012.96470251
1,11,5,2,2,7,16,2576598.37203929,6903917.23724803
1,17,0,3,0,5,8,1795331.95752765,4746098.68799979
1,13,2,0,2,4,8,1568937.12023994,6485472.06380267
1,24,0,3,2,7,12,2163210.83739227,8209810.26492258
0,39,2,0,1,3,6,1921912.54964712,2678361.81366685
1,29,1,2,1,2,6,1306838.8381105,4429382.65330003
1,29,1,1,0,4,6,1248044.94014698,626047.458034873
0,25,2,2,0,3,7,1704976.81587751,5844224.22850978
1,28,1,1,1,5,8,1979104.41802465,5991171.01774511
1,13,1,1,1,6,9,2016769.77421048,2600993.4397142
1,31,1,0,2,0,3,1077900.95779665,3206137.25869949
0,37,2,0,2,1,5,1488041.12612714,6753652.03292108
0,28,4,3,0,4,11,2050547.00999669,5845591.34292904
0,37,2,1,2,0,5,1511003.88915277,5882729.39563489
0,21,6,3,2,2,13,2143441.32244829,7176838.25229576
0,22,1,3,1,1,6,1406191.81673499,4441642.59823062
0,38,2,2,0,6,10,2146933.63300218,8112588.88474265
0,26,2,2,0,7,11,1991086.58174076,3719576.88582877
0,36,1,2,0,2,5,1497371.80692549,4022689.12087842
0,37,0,1,0,2,3,1183020.60653545,2140544.1871822
1,17,0,0,1,4,5,1830204.78479234,3718698.09391707
0,19,6,2,2,2,12,2559123.97026859,10318900.0516819
1,19,3,3,1,2,9,2138817.96135344,6580199.45097482
0,14,4,3,0,2,9,1876886.66852464,4191436.51197528
0,34,3,3,0,6,12,1824241.32167545,8597842.49836558
0,17,2,1,0,4,7,1586790.67268532,2991416.11508113
1,31,3,1,0,0,4,1272251.25486228,5454081.24549295
0,33,1,1,2,4,8,1710907.53513052,3230639.46798996
1,33,0,3,1,1,5,1570024.20939249,4786417.7238873
0,24,5,0,1,2,8,1974875.72468108,5985356.10135606
0,40,5,0,0,1,6,1015525.5955107,4023196.91632335
1,15,3,2,2,5,12,2287538.81696194,7738032.57621972
0,16,4,0,1,3,8,2205061.98380632,4427117.20373606
0,30,1,3,2,1,7,1944432.7916125,6353442.77001692
0,19,6,1,1,0,8,1272749.17113511,3407425.69806918
1,13,1,2,0,0,3,1437207.2537968,4399100.86317216
0,11,3,1,0,0,4,1634758.62109742,3793744.28516947
0,38,5,2,2,0,9,2083485.97655632,6743031.58455434
1,16,2,1,2,5,10,1970055.2952472,3796219.59817591
1,22,3,0,0,1,4,1323543.07456154,5731636.90009415
1,28,1,0,0,2,3,1347752.39260195,5475474.80117383
1,31,3,2,1,2,8,1025689.84329099,5538399.65402053
0,31,0,2,2,1,5,1182142.38622754,6314701.77079342
1,17,4,1,2,6,13,1651173.36960036,6620465.35118767
0,15,6,3,0,2,11,1748726.81622326,6995893.60317601
0,28,0,1,1,4,6,1611889.15631832,5517211.08967605
0,20,1,2,1,1,5,1238828.80459859,4660429.53877689
0,17,0,1,1,3,5,1382285.71566469,3176283.44947792
1,22,5,3,1,7,16,2503175.07801599,10378806.0008472
0,21,6,3,2,3,14,2296717.99707481,6721482.79577865
0,21,3,1,0,4,8,1559954.6442926,4927989.59013017
0,17,6,2,0,5,13,1975368.29275873,8991050.38304109
0,16,1,3,1,2,7,1718364.42163499,7558177.73038163
1,13,6,3,2,5,16,2392073.78583685,4070081.60632231
1,39,6,3,1,7,17,1858517.28182535,5600684.4218182
1,27,4,2,1,6,13,2526721.21429428,7844030.1235543
1,15,3,2,1,1,7,1756811.02129517,6026701.96529978
1,31,5,2,2,7,16,2110319.2662822,6404588.78351411
0,36,4,3,0,5,12,2437076.57200803,7271009.84460178
0,32,2,0,2,2,6,1766177.12821646,7512049.32012197
1,25,2,1,2,3,8,1839089.26713611,6110842.73804182
0,29,1,0,2,4,7,2200577.93938707,6708885.13535491
0,23,2,3,1,6,12,2528414.95383743,9234995.62460576
0,22,4,0,1,7,12,2186476.17578724,5017725.85531641
0,16,0,3,0,5,8,1856096.11869374,4302601.42509575
0,34,5,3,1,3,12,2397623.72554949,6925495.86964162
0,32,2,1,2,6,11,1656450.63659932,5083852.79294787
0,30,6,3,2,2,13,1565610.44627272,7749453.24555549
0,23,1,0,1,7,9,2106774.43737427,10205065.4429492
0,33,6,2,1,3,12,2163268.62842761,6986362.54227333
0,34,2,0,2,1,5,963204.284859873,5678108.97656113
1,35,3,2,0,5,10,2104295.6834954,3666055.12824964
0,35,3,1,1,1,6,1477837.07466566,4829551.88098719
0,15,6,0,0,7,13,2497578.7586661,4261476.7905042
0,11,1,2,2,4,9,1950157.07694759,9125960.64190392
0,15,4,3,2,0,9,1507778.14550872,5503960.91905161
1,28,2,2,1,5,10,2167968.9181773,2417485.62416027
0,27,2,0,0,2,4,1205412.0722929,5170712.66199444
1,12,5,2,2,2,11,1987124.90763373,9961705.32505687
0,34,1,2,2,6,11,2379775.56906399,5595751.81270012
0,28,3,2,0,3,8,1104890.00838074,7817753.50908155
0,25,5,3,0,4,12,3218697.9843567,9901427.89593216
1,37,5,2,2,4,13,2164468.07879982,5804976.23178704
1,31,3,1,2,6,12,2376598.9899502,5281599.67309834
0,22,1,3,0,5,9,2255844.39255957,6328754.1848351
0,40,2,2,1,3,8,2173268.67714145,4112123.92127786
0,24,1,0,1,5,7,1626012.56299621,4079313.20731571
0,16,6,1,1,2,10,2321404.27271211,7205263.07314596
0,38,3,0,2,1,6,1496984.73808102,3779854.91481724
0,38,4,1,0,3,8,1375234.732098,6883429.98419254
1,14,5,2,0,5,12,2054220.90736102,3586664.9869358
0,15,5,3,1,5,14,2256136.68470319,6689597.5928416
0,37,4,1,2,3,10,2062254.42409859,5043528.3457593
1,33,1,1,0,7,9,2158566.5223834,8564271.67617242
0,26,3,2,1,3,9,1706984.11616438,3726838.85234692
0,11,1,1,2,3,7,1630225.46187967,8712166.45809756
1,34,3,1,1,4,9,1974503.18681873,6915726.9940778
0,11,5,0,2,0,7,1838133.68330101,8320909.16644591
0,34,0,1,2,3,6,1658892.12090278,6439763.57791328
0,14,3,1,2,3,9,1945307.5008998,4726810.62688587
0,29,4,0,1,0,5,1527676.53529804,5453842.91296684
1,25,1,3,1,7,12,2288519.97853151,7021393.73654942
0,26,2,1,1,1,5,1329609.24025151,3662632.63550408
0,39,6,3,2,3,14,2400658.40480253,4927860.14368063
1,39,4,2,2,2,10,1702571.08837631,4311717.484044
0,39,5,3,2,7,17,3458002.1050725,6102305.75409668
0,20,1,0,2,4,7,1490310.56371858,6637212.17598495
0,14,0,2,0,5,7,1305026.53594527,5597100.36565632
0,24,4,1,0,4,9,1816480.03821188,3529521.87813422
0,17,1,1,1,3,6,2057605.60597126,6272024.96776013
0,35,0,0,0,2,2,1305444.60696001,1569675.92141696
0,36,4,1,2,1,8,1717965.19084311,2973182.95007601
0,30,5,0,1,6,12,1978360.11403166,7280086.55516876
1,38,0,3,1,5,9,1624423.6601943,3676826.32207101
0,18,1,2,1,7,11,1806667.41738102,5793278.6693782
0,34,6,1,1,1,9,2063439.59315698,6786217.2850095
0,14,2,3,1,0,6,1442303.17182075,3474017.72623002
1,32,6,1,1,5,13,2887165.43600287,6033206.78437933
0,28,5,3,1,0,9,1843894.29606245,4037439.11606686
0,10,1,1,2,1,5,1224485.2838048,6918477.44470674
0,12,1,0,1,7,9,1826923.03356773,5103455.3675617
1,11,3,0,0,4,7,1662070.49071303,7107907.91479118
0,28,3,1,0,4,8,1526634.47639067,3503273.46137495
1,37,5,3,0,0,8,2092848.76802704,5959877.10514189
1,29,0,3,0,2,5,1159798.93000524,4852725.39593311
0,30,5,2,0,7,14,1943112.32012091,7313364.77205437
1,26,1,0,0,2,3,1177812.11053836,2050457.08662477
1,11,0,0,0,1,1,1245687.29058518,2896054.88058404
0,23,4,0,2,6,12,2022188.46251271,8859799.42352676
1,11,2,1,2,3,8,1725327.65537607,4175520.86539444
0,40,5,0,0,6,11,2646137.23841534,5699810.08142392
0,16,2,2,1,5,10,2166970.4902259,5045381.40692352
0,24,3,0,2,6,11,2006145.3555904,8179300.38637238
1,15,6,3,2,2,13,1774727.76510748,5956752.35917173
0,19,5,3,2,2,12,1843431.1951162,5935138.67340684
0,32,4,1,1,3,9,1849948.21737408,6748771.30872833
1,18,0,3,0,0,3,1587275.49066774,2340542.84357897
0,12,6,0,1,7,14,2542839.19891325,9271450.22397055
0,40,6,1,2,1,10,1769557.1294658,4035326.10326489
0,20,2,0,1,7,10,2583156.89889046,2037116.33060905
0,11,5,3,1,0,9,1906548.80862937,6909656.15935294
0,37,3,0,2,2,7,1975306.11328403,7926871.07155473
0,38,4,0,1,1,6,1880397.89853391,3294723.01969564
1,23,4,0,0,1,5,1487206.46436407,5954411.94273684
1,23,0,0,1,7,8,1556562.86630148,7146478.55292241
0,35,4,0,0,6,10,1737481.73542009,3630790.76036889
1,21,4,0,0,1,5,1455608.51716787,5474623.81809673
0,28,3,2,1,4,10,1755449.19597934,5102128.67610658
0,17,0,2,1,7,10,1915330.22445885,4107693.96140643
0,33,1,2,1,3,7,1977999.48291031,5474359.58028594
1,29,2,3,0,5,10,2225514.94233458,949985.196499312
0,30,2,1,0,0,3,1017099.13766239,2381970.57516763
0,27,1,1,2,6,10,1979816.87303869,8305112.37349481
0,32,5,2,0,6,13,2332587.54233778,9178245.89881904
0,18,1,1,0,3,5,1327560.462104,5940053.13031592
0,32,3,2,0,3,8,1423285.18037453,6921846.10266852
0,29,0,0,1,1,2,1102851.00291561,4148762.85902942
0,19,2,3,1,1,7,1377620.3161202,4471175.58119081
0,31,0,1,1,7,9,1399316.59519146,5875653.34032543
1,30,5,1,0,4,10,2056680.7951184,5531708.568764
0,36,6,2,0,5,13,2455384.87950299,4503060.74581415
0,30,2,0,1,2,5,1489801.1661867,4830417.47441786
1,28,2,1,0,6,9,1917037.15649315,2702815.61614264
1,33,0,3,2,6,11,2330750.77591944,5852417.52057014
0,11,6,1,0,2,9,2141360.1733298,3962603.33363266
0,25,5,3,0,4,12,2482142.8672778,6352836.10348124
0,38,1,0,2,3,6,1641672.56428861,8167898.05911596
0,13,0,0,0,7,7,1684117.87145184,2910387.00601025
0,39,0,1,0,5,6,1724310.18187,4789056.85943896
0,39,3,2,1,0,6,1924310.24466144,3935889.9592833
0,31,3,3,1,3,10,2414995.95777774,4150653.73063674
1,39,3,0,0,4,7,2060137.19361839,3931889.5943338
1,24,4,3,2,6,15,2733505.67700444,5458381.60319889
0,14,0,3,0,6,9,1644200.84743416,4786831.84519259
0,18,0,2,1,4,7,1837128.57040088,5776349.30904858
1,15,4,0,2,4,10,2202673.2262348,5724422.41836258
1,34,6,3,0,7,16,2217399.07083195,8235819.01442385
0,39,2,0,1,0,3,1179508.22923864,694040.468975339
0,22,5,1,2,0,8,1085412.31281355,6671051.15911376
1,39,3,2,2,4,11,1928116.93035057,3979518.38625997
0,28,5,1,2,6,14,2273018.72690042,9834893.76633803
1,26,1,1,2,3,7,2111446.0752185,2391717.82915277
1,25,0,1,2,5,8,1602730.96012815,3487012.30236963
0,33,0,0,1,6,7,2465287.18702886,5427137.60256855
0,12,0,2,2,3,7,1805977.35351306,4718976.64291315
0,19,5,2,2,1,10,1689307.40691228,5614763.41162331
0,26,3,3,1,1,8,1874829.56434912,7036490.15287587
0,34,5,0,2,5,12,2227120.05397161,10626062.5916407
1,32,1,1,2,6,10,2065575.67355861,5849397.94291833
0,40,5,1,2,6,14,2072382.82439956,6254053.08459462
1,23,4,2,2,4,12,2213754.8542592,6980325.52309243
0,37,1,2,2,7,12,1998469.78993381,5370500.84603439
0,33,5,0,0,7,12,2300294.81852134,7823916.06304047
1,21,0,0,0,1,1,1524256.2217842,6205331.34025842
0,37,1,3,0,2,6,1549327.59295066,6447303.18633227
1,38,6,0,0,5,11,1939824.86768424,6440075.50318895
0,23,2,1,0,0,3,1224389.96618865,6677930.39816988
0,37,5,3,0,2,10,1994037.39950384,7428272.93864808
0,15,0,0,2,6,8,2300190.00493202,6422021.50665951
0,28,3,2,2,0,7,1712143.95587656,4648435.33808832
0,39,6,1,2,1,10,1538846.66195468,4978295.14532853
0,39,4,0,2,4,10,2179522.40740534,7557795.25616299
0,13,5,0,2,2,9,1963548.19354495,3192704.75571343
0,37,1,1,1,2,5,1320492.66396523,3176005.89114871
0,31,3,2,2,1,8,1751759.22410009,5286032.31586662
1,35,6,0,2,0,8,1657048.73299163,5111453.92745036
1,32,4,0,1,3,8,1708442.11030863,7867558.63727432
0,17,5,3,0,0,8,1764545.9652563,2659114.28718005
0,15,5,3,0,6,14,2569815.26556807,4390187.3017393
0,13,6,3,1,2,12,2101431.36947553,5990297.10659637
0,13,0,3,0,7,10,1771514.54430918,4540378.82083611
0,17,1,1,1,7,10,2116246.92803477,5713261.96920753
1,26,4,0,1,0,5,1254955.08008653,4734745.12919193
0,34,6,3,2,0,11,2590506.95296524,7451099.25016582
1,13,1,3,0,7,11,1936933.95911895,7385096.88668526
0,35,0,2,1,2,5,1532939.70743877,6329140.4736677
1,14,4,1,1,4,10,2115452.60384377,3977873.92642374
0,24,5,1,0,5,11,1375152.361589,9206240.89583063
1,28,2,3,2,0,7,2149736.85720865,4424842.52096605
0,25,4,3,1,6,14,2168382.28671043,3134366.69024304
1,34,6,1,0,5,12,2523583.2827287,3693477.66360918
0,28,5,0,2,4,11,2116007.18056065,7220107.2573008
0,12,5,3,0,6,14,2735576.83124634,7819786.18863282
0,25,1,0,0,3,4,1699598.73408046,3858589.4169866
0,13,2,1,2,6,11,2656978.03821428,7429632.05153364
0,40,1,3,2,3,9,1947779.70668407,3183747.05425199
0,38,0,2,1,4,7,1109621.90855884,5572266.47944273
0,32,1,2,2,3,8,1858661.103504,3858583.45954998
0,19,3,2,2,6,13,2757025.20444716,4505181.43229718
1,13,0,1,1,6,8,1669305.38892177,3725517.22664175
0,19,4,2,0,5,11,2374585.92252701,5952969.13885343
1,11,1,3,0,0,4,1545315.98439671,3220335.52744089
0,21,1,0,2,2,5,1626868.38518261,4570679.87877346
0,21,2,0,1,4,7,1848924.90753835,3816177.62699103
0,28,3,3,2,2,10,1894548.60260023,2889721.79160681
1,37,2,2,2,1,7,1437331.41065026,5443226.51287042
0,29,4,3,2,5,14,2834126.09086875,7089004.07149006
0,29,3,0,2,3,8,1583073.25160353,3747052.98079727
0,27,0,3,2,2,7,1564627.723364,6540012.63964007
0,12,6,3,0,6,15,2047157.27976467,7584725.42761552
0,13,0,1,0,7,8,2663748.42018685,6512951.86977405
0,19,3,0,2,7,12,2104633.54929446,8899864.2025225
0,23,1,3,2,4,10,1909817.26246536,4227149.29506997
0,35,5,2,0,7,14,2893673.26724459,6704431.63476923
1,18,0,2,0,5,7,1998467.77776229,7119235.86917385
0,25,0,2,1,1,4,1306310.02519875,3576669.25276416
0,22,6,0,1,4,11,2170147.96956304,7521721.98232714
0,32,6,2,1,7,16,2540747.38234436,7783066.4613332
1,40,6,0,2,7,15,2123966.94010802,10250478.2627513
1,19,2,3,1,7,13,2586392.33865434,7228656.5333433
0,38,6,2,0,7,15,2328994.27093977,7643745.86334911
0,20,4,3,0,7,14,2689265.84658619,4598575.84887831
0,13,1,1,0,2,4,1157106.34599562,5869831.79747534
0,21,0,3,0,7,10,1979970.9697266,5884689.09009309
1,18,4,2,2,1,9,2145659.03244346,5000267.82407504
0,18,3,2,0,0,5,919801.662382636,4310563.71294106
0,18,3,0,0,6,9,2016560.82993087,7141410.56260039
1,39,1,2,2,0,5,1809119.34600977,3414970.97768931
1,13,5,0,1,4,10,1684039.93296289,4561994.6966114
