"regcust","age","sex","type","regyear","regmon","ageGroup","status","lifeValue"
"mqsdycqi",40,"M","Basic",2016,5,"Adult",1,0
"acdmvelw",29,"M","Basic",2016,5,"Young",1,0
"shnldoay",19,"M","Basic",2016,5,"Young",1,0
"vddwchpx",10,"F","Basic",2016,5,"Youth",1,0
"ixnfwjat",37,"F","Basic",2016,5,"Adult",1,0
"jkikavus",16,"M","Basic",2016,5,"Youth",1,0
"avjztlnq",27,"M","Basic",2016,5,"Young",1,0
"nttgcrlp",32,"M","Basic",2016,5,"Adult",1,0
"crugkjbn",24,"F","Premium",2016,5,"Young",1,0
"rlmulrvb",24,NA,"Basic",2016,5,"Young",1,0
"aqqupynt",17,"F","Premium",2016,5,"Youth",1,0
"hguoxjte",16,"M","Basic",2016,5,"Youth",1,0
"fzxttrec",19,"M","Basic",2016,5,"Young",1,0
"pckiroax",40,"M","Basic",2016,5,"Adult",1,0
"kzdmznfl",29,"F","Premium",2016,5,"Young",1,0
"sptnjnko",24,"M","Basic",2016,5,"Young",1,0
"wmauvslm",37,"F","Basic",2016,5,"Adult",1,0
"msnpsmte",17,"M","Premium",2016,5,"Youth",1,0
"nmsiuaaj",34,"M","Basic",2016,5,"Adult",1,0
"qfyhscgs",24,"M","Premium",2016,5,"Young",1,0
"dspqpzeu",10,"M","Basic",2016,5,"Youth",1,0
"yhbdqany",40,"M","Premium",2016,5,"Adult",1,0
"hqnehuhn",14,"F","Basic",2016,5,"Youth",1,0
"cbqxxsfz",28,"M","Premium",2016,5,"Young",1,0
"fasjlfzh",34,"M","Basic",2016,5,"Adult",1,0
"rxblpgtj",29,"M","Premium",2016,5,"Young",1,0
"ozwseldj",17,"M","Basic",2016,5,"Youth",1,0
"aggcfckl",38,"M",NA,2016,5,"Adult",1,0
"thzkzzni",37,"F","Basic",2016,5,"Adult",1,0
"cunwdfpj",39,"F","Basic",2016,5,"Adult",1,0
"satjbmcr",29,"M","Basic",2016,5,"Young",1,0
"uzuqamse",30,"M","Basic",2016,5,"Young",1,0
"pjiiiofs",11,"M","Basic",2016,5,"Youth",1,0
"asfuzrnr",12,"M","Basic",2016,5,"Youth",1,0
"tsncnxax",15,"M","Basic",2016,5,"Youth",1,0
"crhykdfi",17,"F","Basic",2016,5,"Youth",1,0
"cjdsgeca",18,"M","Basic",2016,5,"Young",1,0
"ilwmjnxa",19,"M","Basic",2016,5,"Young",1,0
"ytspkuev",21,"F","Basic",2016,5,"Young",1,0
"sgugystg",38,"M","Basic",2016,5,"Adult",1,0
"zdciuddm",34,"M","Basic",2016,5,"Adult",1,0
"isbuvuhc",14,"M","Basic",2016,5,"Youth",1,0
"ivmymcix",18,"M","Basic",2016,5,"Young",1,0
"tgkuqdzi",13,"M","Basic",2016,5,"Youth",1,0
"hpctssaw",16,"F","Premium",2016,5,"Youth",1,0
"buigyrjd",40,"M","Basic",2016,5,"Adult",1,0
"yhfytosp",35,"M","Basic",2016,5,"Adult",1,0
"njckpmtb",31,"F","Basic",2016,5,"Adult",1,0
"eennytze",12,"M","Basic",2016,5,"Youth",1,0
"wvjpcoom",14,"M","Premium",2016,5,"Youth",1,0
"kfaonqjc",23,"F","Basic",2016,5,"Young",1,0
"bmqeglxp",12,"F","Premium",2016,5,"Youth",1,0
"smxjscvh",36,"M","Premium",2016,5,"Adult",1,0
"scpgqqjo",26,"M","Basic",2016,5,"Young",1,0
"qlvrjzgg",21,"F","Premium",2016,5,"Young",1,0
"yzswcplm",15,"M","Premium",2016,5,"Youth",1,0
"oveqsokv",32,"M","Basic",2016,5,"Adult",1,0
"awnodmmt",19,"F","Basic",2016,5,"Young",1,0
"ycyckdru",31,"M","Basic",2016,5,"Adult",1,0
"czjkzrsf",21,"M","Premium",2016,5,"Young",1,0
"bltgoeog",37,"M","Premium",2016,5,"Adult",1,0
"mhxpdaao",19,"M","Basic",2016,5,"Young",1,0
"bcjhqdse",31,"F","Premium",2016,5,"Adult",1,0
"lfcrlwvc",31,"F","Basic",2016,5,"Adult",1,0
"yxovlzpp",21,"F","Basic",2016,5,"Young",1,0
"sdcaakzl",19,"M","Basic",2016,5,"Young",1,0
"xutleddl",29,"F","Basic",2016,5,"Young",1,0
"bgjgmixw",13,"M","Premium",2016,5,"Youth",1,0
"inqptdup",10,"F","Basic",2016,5,"Youth",1,0
"tpbvfupw",22,"F","Basic",2016,5,"Young",1,0
"jmgwooqg",21,"F","Basic",2016,5,"Young",1,0
"dbstcmzj",17,"F","Basic",2016,5,"Youth",1,0
"xybseqrp",35,"M","Basic",2016,5,"Adult",1,0
"jmfmohwk",17,NA,"Premium",2016,5,"Youth",1,0
"uxbkrzbx",24,"M","Basic",2016,5,"Young",1,0
"ximzpqac",12,"M","Basic",2016,5,"Youth",1,0
"ewopahrl",18,"M","Basic",2016,5,"Young",1,0
"idycgapo",19,"F","Premium",2016,5,"Young",1,0
"oncmozyn",24,"F","Premium",2016,5,"Young",1,0
"opuujsdl",13,"M","Basic",2016,5,"Youth",1,0
"zbzwonfv",16,"F","Basic",2016,5,"Youth",1,0
"ktuvihad",35,NA,"Basic",2016,5,"Adult",1,0
"zhlkbkbp",39,"M","Basic",2016,5,"Adult",1,0
"gqstbdxr",38,"M","Premium",2016,5,"Adult",1,0
"psumdxpq",20,"M","Basic",2016,5,"Young",1,0
"xnvppkgv",26,"M","Basic",2016,5,"Young",1,0
"lwntfxlq",40,"M","Basic",2016,5,"Adult",1,0
"wwvilyed",17,"M","Basic",2016,5,"Youth",1,0
"rdybuvtw",39,"F","Basic",2016,5,"Adult",1,0
"qrobjjpa",29,"M","Basic",2016,5,"Young",1,0
"xoaavxbr",30,"M","Basic",2016,5,"Young",1,0
"izktgpdr",13,"F","Basic",2016,5,"Youth",1,0
"ilwyvfro",31,"F","Basic",2016,5,"Adult",1,0
"rlfpnzzy",17,"F","Premium",2016,5,"Youth",1,0
"wshxaati",28,"M","Basic",2016,5,"Young",1,0
"htuyzhts",32,"M","Basic",2016,5,"Adult",1,0
"rvdervfh",16,"M","Basic",2016,5,"Youth",1,0
"znzsqfbu",17,"F","Premium",2016,5,"Youth",1,0
"bsjyhhqy",15,"F","Basic",2016,5,"Youth",1,0
"ubouuyxt",28,"M","Basic",2016,5,"Young",1,0
"lgwefhmt",33,"F","Premium",2016,5,"Adult",1,0
"tccihrhk",36,"M","Basic",2016,5,"Adult",1,0
"yomyvciz",35,"F","Basic",2016,5,"Adult",1,0
"bbktbliy",26,"M","Basic",2016,5,"Young",1,0
"ndmdaqzc",29,"M","Basic",2016,5,"Young",1,0
"fwmnbmcu",17,"F","Basic",2016,5,"Youth",1,0
"lyetowet",20,"M","Basic",2016,5,"Young",1,0
"cdvmdumk",33,"F","Basic",2016,5,"Adult",1,0
"bfcabojg",30,"M","Basic",2016,5,"Young",1,0
"xznlvzhv",11,"M","Basic",2016,5,"Youth",1,0
"mkgjtism",36,"M","Basic",2016,5,"Adult",1,0
"gaqgvtwm",25,"M","Premium",2016,5,"Young",1,0
"qzfmszjy",21,"F","Basic",2016,5,"Young",1,0
"jijbpxhn",24,"M","Basic",2016,5,"Young",1,0
"lpeiylbl",33,"M","Basic",2016,5,"Adult",1,0
"wqalmqwk",18,"M","Basic",2016,5,"Young",1,0
"wskwiwdr",22,"M","Basic",2016,5,"Young",1,0
"wqxkvvge",22,"F","Basic",2016,5,"Young",1,0
"ihofqgmv",20,"M","Basic",2016,5,"Young",1,0
"fxwcaqec",13,"M","Basic",2016,5,"Youth",1,0
"wjhsefks",24,"F","Premium",2016,5,"Young",1,0
"ssuksmxy",31,"F","Basic",2016,5,"Adult",1,0
"fhjwtqlg",14,"M","Basic",2016,5,"Youth",1,0
"wubraowq",13,"M","Premium",2016,5,"Youth",1,0
"xiocmksc",29,"M","Basic",2016,5,"Young",1,0
"jnalkjen",20,"F","Basic",2016,5,"Young",1,0
"ztuieqaw",34,"M","Basic",2016,5,"Adult",1,0
"ypojzyky",26,"M","Basic",2016,5,"Young",1,0
"ixphfxkx",34,"M","Basic",2016,5,"Adult",1,0
"gnyjguib",22,"M","Basic",2016,5,"Young",1,0
"acqsmtod",24,"F","Premium",2016,5,"Young",1,0
"qhembbiq",27,"M","Basic",2016,5,"Young",1,0
"xqmczdoy",40,"M","Basic",2016,5,"Adult",1,0
"fzqmnpfv",18,"M","Basic",2016,5,"Young",1,0
"tiuacuht",36,"M","Basic",2016,5,"Adult",1,0
"fvrresim",15,"F","Basic",2016,5,"Youth",1,0
"jfocahhm",20,"F","Basic",2016,5,"Young",1,0
"vkyqledk",20,"M","Basic",2016,5,"Young",1,0
"hghfytgg",16,"M","Basic",2016,5,"Youth",1,0
"dwubooxe",14,"F","Basic",2016,5,"Youth",1,0
"glwclyya",32,"F","Premium",2016,5,"Adult",1,0
"zqsebjae",28,"M","Basic",2016,5,"Young",1,0
"jizjtcmf",36,"M","Basic",2016,5,"Adult",1,0
"txkfgjpc",14,"F","Basic",2016,5,"Youth",1,0
"uehgyequ",21,"M","Premium",2016,5,"Young",1,0
"kvpklipv",29,"M","Basic",2016,5,"Young",1,0
"khudyypa",10,"F","Basic",2016,5,"Youth",1,0
"tjiklamq",33,"F","Basic",2016,5,"Adult",1,0
"zcbfqcre",25,"M","Basic",2016,5,"Young",1,0
"sbafpwmv",11,"M","Basic",2016,5,"Youth",1,0
"rglwfgvl",13,"M","Basic",2016,5,"Youth",1,0
"yqcktzsu",12,"M","Basic",2016,5,"Youth",1,0
"qsbmeozz",19,"M","Basic",2016,5,"Young",1,0
"hqbhhlhz",29,"M","Basic",2016,5,"Young",1,0
"nukvjmde",16,"M","Basic",2016,5,"Youth",1,0
"kqxebbkj",10,"M","Premium",2016,5,"Youth",1,0
"jisgllrj",31,"M","Premium",2016,5,"Adult",1,0
"mrfwkxkd",36,"M","Basic",2016,5,"Adult",1,0
"hwmxdjkx",14,"F","Premium",2016,5,"Youth",1,0
"kwvbxvxz",22,"M","Basic",2016,5,"Young",1,0
"zyabfkmb",24,"M","Basic",2016,5,"Young",1,0
"awviilqy",12,"M","Basic",2016,5,"Youth",1,0
"acvimqbo",10,"F","Basic",2016,5,"Youth",1,0
"vblfaner",22,"F","Basic",2016,5,"Young",1,0
"upuhsorc",33,"M","Basic",2016,5,"Adult",1,0
"qcfwqqpz",10,"M","Basic",2016,5,"Youth",1,0
"pcfsvmaz",29,"F","Basic",2016,5,"Young",1,0
"cuelivcl",18,"M","Basic",2016,5,"Young",1,0
"enmykvas",31,"M","Basic",2016,5,"Adult",1,0
"kbmmihef",24,"M","Basic",2016,5,"Young",1,0
"ahsvpmgl",36,"M","Basic",2016,5,"Adult",1,0
"ppfyccku",33,"M","Basic",2016,5,"Adult",1,0
"tiixfxlk",23,"M","Basic",2016,5,"Young",1,0
"eybvjjxa",10,"F","Basic",2016,5,"Youth",1,0
"pvrzkgis",32,"M","Basic",2016,5,"Adult",1,0
"ypenduay",18,"F","Basic",2016,5,"Young",1,0
"lpmrtehx",15,"M","Basic",2016,5,"Youth",1,0
"dadeymry",36,"F","Basic",2016,5,"Adult",1,0
"zekpffsd",25,"M","Basic",2016,5,"Young",1,0
"dhprlbmm",29,"M","Basic",2016,5,"Young",1,0
"ovzabncp",24,"M","Basic",2016,5,"Young",1,0
"vcwfbfyh",26,"M","Premium",2016,5,"Young",1,0
"dzlupqna",20,"M","Basic",2016,5,"Young",1,0
"wdhnlknv",14,NA,"Basic",2016,5,"Youth",1,0
"uyjpuglk",28,"M",NA,2016,5,"Young",1,0
"qmunmhvi",33,"F","Basic",2016,5,"Adult",1,0
"breazpok",20,"M","Basic",2016,5,"Young",1,0
"bfqmrjuk",13,"M","Basic",2016,5,"Youth",1,0
"aijluwqt",30,"M","Basic",2016,5,"Young",1,0
"okszjcdc",36,"F","Premium",2016,5,"Adult",1,0
"aegnxxlq",10,"M","Basic",2016,5,"Youth",1,0
"vqrknjfn",30,"M","Basic",2016,5,"Young",1,0
"hduhqnlz",17,"M","Basic",2016,5,"Youth",1,0
"xoujfqsx",15,"M","Basic",2016,5,"Youth",1,0
"stpnsegt",19,"M","Basic",2016,5,"Young",1,0
"ajmfjnpz",29,"F","Basic",2016,5,"Young",1,0
"zawlxnmf",29,"M","Basic",2016,5,"Young",1,0
"efbkqysw",38,"M","Basic",2016,5,"Adult",1,0
"ipulcffu",20,NA,"Basic",2016,5,"Young",1,0
"sdjyntwl",37,"F","Basic",2016,5,"Adult",1,0
"cyjjaacj",19,"F","Basic",2016,5,"Young",1,0
"icaolkbe",32,"M","Premium",2016,5,"Adult",1,0
"sclsfmpt",28,"M","Basic",2016,5,"Young",1,0
"kossndpz",26,"F","Basic",2016,5,"Young",1,0
"bbnpvvpj",35,"F","Basic",2016,5,"Adult",1,0
"hyhcgfga",36,"M","Basic",2016,5,"Adult",1,0
"etobuxkn",28,"M","Basic",2016,5,"Young",1,0
"tdbwrhdb",14,"M","Basic",2016,5,"Youth",1,0
"fdwqtzqa",36,"M","Basic",2016,5,"Adult",1,0
"brzatbup",20,"M","Basic",2016,5,"Young",1,0
"zgizvzpt",30,"F","Premium",2016,5,"Young",1,0
"zyjjizgy",14,"M","Basic",2016,5,"Youth",1,0
"olakctbv",19,"M","Basic",2016,5,"Young",1,0
"zggbjbtu",39,"M","Basic",2016,5,"Adult",1,0
"nhetcjtb",21,"F","Basic",2016,5,"Young",1,0
"mxzmzcwz",37,"M","Premium",2016,5,"Adult",1,0
"itdqrjvh",22,"M","Basic",2016,5,"Young",1,0
"ffuocjzs",17,"M","Basic",2016,5,"Youth",1,0
"fmfmiiqf",21,"M","Basic",2016,5,"Young",1,0
"vuszpmjg",31,"M","Basic",2016,5,"Adult",1,0
"wnfszcgq",36,"F","Basic",2016,5,"Adult",1,0
"tvhpyhyl",27,"M","Basic",2016,5,"Young",1,0
"tgasigkt",12,"F","Basic",2016,5,"Youth",1,0
"snwdfedn",34,"M","Premium",2016,5,"Adult",1,0
"vnoaacjc",37,"F","Basic",2016,5,"Adult",1,0
"xwxskxmw",33,"M","Basic",2016,5,"Adult",1,0
"pusbaapr",26,"M","Basic",2016,5,"Young",1,0
"wvpgivzs",33,"F","Basic",2016,5,"Adult",1,0
"tgguufhv",37,"M","Basic",2016,5,"Adult",1,0
"fzgdsoxv",13,"F","Basic",2016,5,"Youth",1,0
"xwzgmjmt",15,"M","Premium",2016,5,"Youth",1,0
"omrzuuje",28,"M","Basic",2016,5,"Young",1,0
"hzqdtkre",10,"F","Basic",2016,5,"Youth",1,0
"nrrhekww",33,"M","Basic",2016,5,"Adult",1,0
"jhhyfzmy",31,"F","Premium",2016,5,"Adult",1,0
"xvwbamjc",27,"M","Basic",2016,5,"Young",1,0
"jhilyjxn",29,"F","Basic",2016,5,"Young",1,0
"aukxmtem",28,"M","Basic",2016,5,"Young",1,0
"lehutkjq",17,"M","Basic",2016,5,"Youth",1,0
"qcupleyj",13,"F","Basic",2016,5,"Youth",1,0
"emvaxfia",16,"M","Basic",2016,5,"Youth",1,0
"gophznku",11,"F","Basic",2016,5,"Youth",1,0
"bbwxtjve",36,"F","Premium",2016,5,"Adult",1,0
"rykoawsp",20,"M","Basic",2016,5,"Young",1,0
"hlfivmve",32,"M","Basic",2016,5,"Adult",1,0
"fxenlvhx",27,"M","Basic",2016,5,"Young",1,0
"emibrlly",30,"M","Basic",2016,5,"Young",1,0
"btmgaexz",21,"F","Basic",2016,5,"Young",1,0
"jpkzoavh",21,"M","Basic",2016,5,"Young",1,0
"qtvbfcjr",23,"M","Basic",2016,5,"Young",1,0
"vntxrdth",37,"F","Basic",2016,5,"Adult",1,0
"mpomdhxo",21,"M","Basic",2016,5,"Young",1,0
"wfprxvsi",40,"M","Basic",2016,5,"Adult",1,0
"ylwqzuqv",25,"M","Basic",2016,5,"Young",1,0
"ihrysine",32,"F","Basic",2016,5,"Adult",1,0
"rczyezed",31,"M","Premium",2016,5,"Adult",1,0
"ytneeebp",40,"M","Premium",2016,5,"Adult",1,0
"qfxyzbzq",21,"F","Basic",2016,5,"Young",1,0
"motrhkbs",25,"F","Basic",2016,5,"Young",1,0
"ipmdmiso",15,"F","Basic",2016,5,"Youth",1,0
"ablzrpgi",11,"M","Basic",2016,5,"Youth",1,0
"pjezarno",18,"F","Basic",2016,5,"Young",1,0
"iopjahuq",32,"M","Basic",2016,5,"Adult",1,0
"konksbqy",28,"M","Basic",2016,5,"Young",1,0
"arypmobt",35,"M","Basic",2016,5,"Adult",1,0
"vxopkxya",26,"M","Basic",2016,5,"Young",1,0
"iklxdoii",12,"M","Basic",2016,5,"Youth",1,0
"sgwigsrx",30,"M","Basic",2016,5,"Young",1,0
"sdfzgycf",21,"M","Basic",2016,5,"Young",1,0
"sabdexyl",35,"M",NA,2016,5,"Adult",1,0
"hysvradu",19,"F","Premium",2016,5,"Young",1,0
"gfukjyim",30,"M","Basic",2016,5,"Young",1,0
"pilmvjwh",17,"F","Premium",2016,5,"Youth",1,0
"nutvhhhz",18,"M","Basic",2016,5,"Young",1,0
"zytpuljr",13,"M","Basic",2016,5,"Youth",1,0
"esfoanuf",40,"M","Basic",2016,5,"Adult",1,0
"evjhazmz",20,"M","Basic",2016,5,"Young",1,0
"khlvnrkm",32,"F","Basic",2016,5,"Adult",1,0
"afkzqdoa",37,"M","Basic",2016,5,"Adult",1,0
"qxcdavzd",25,"M","Basic",2016,5,"Young",1,0
"iqebdtpe",35,"M","Basic",2016,5,"Adult",1,0
"ddqvuifn",25,"F","Basic",2016,5,"Young",1,0
"eeauvytg",30,"M","Basic",2016,5,"Young",1,0
"zjzythnq",15,NA,"Basic",2016,5,"Youth",1,0
"gxtuduiu",24,"M",NA,2016,5,"Young",1,0
"igdzizdj",19,"F","Premium",2016,5,"Young",1,0
"gnjmnnbx",18,"M","Premium",2016,5,"Young",1,0
"yjcsywvk",11,"M","Premium",2016,5,"Youth",1,0
"npxjzriw",28,"M","Basic",2016,5,"Young",1,0
"rskskzoj",30,"M","Basic",2016,5,"Young",1,0
"nhkroozu",40,"M","Basic",2016,5,"Adult",1,0
"qlrrfrap",34,"M","Basic",2016,5,"Adult",1,0
"rfrpycqt",40,"M","Basic",2016,5,"Adult",1,0
"xjosfipf",39,"F","Basic",2016,5,"Adult",1,0
"qgxgikts",22,"F","Basic",2016,5,"Young",1,0
"xdzxlftk",23,"M","Basic",2016,5,"Young",1,0
"evwkagef",35,"M","Basic",2016,5,"Adult",1,0
"jgryvkph",20,"M","Premium",2016,5,"Young",1,0
"gskecqhc",29,"F","Premium",2016,5,"Young",1,0
"abmvzsgk",22,"M","Basic",2016,5,"Young",1,0
"ukhnnash",37,"F","Basic",2016,5,"Adult",1,0
"oxscgeer",21,"M","Premium",2016,5,"Young",1,0
"hdvbjwrh",36,"F","Basic",2016,5,"Adult",1,0
"snpjszpl",23,"M","Basic",2016,5,"Young",1,0
"rgilmkzv",24,"M","Basic",2016,5,"Young",1,0
"csyerexi",24,"M","Premium",2016,5,"Young",1,0
"dnshlykn",17,"M","Basic",2016,5,"Youth",1,0
"grherisg",19,"M","Basic",2016,5,"Young",1,0
"sfjjifte",22,"F","Premium",2016,5,"Young",1,0
"pmstbokc",32,"M","Basic",2016,5,"Adult",1,0
"sisrhehw",29,"M","Basic",2016,5,"Young",1,0
"zsksjjpu",16,"F","Basic",2016,5,"Youth",1,0
"qwfxsqbi",26,"M","Premium",2016,5,"Young",1,0
"orykdwrk",22,"F","Basic",2016,5,"Young",1,0
"nszrewut",24,"M","Basic",2016,5,"Young",1,0
"flvvwxre",33,"F","Basic",2016,5,"Adult",1,0
"jxilufvu",15,"M","Basic",2016,5,"Youth",1,0
"xsvbkgzb",34,"F","Basic",2016,5,"Adult",1,0
"ttjqqyux",27,"M","Basic",2016,5,"Young",1,0
"mljbhzwo",26,"M","Basic",2016,5,"Young",1,0
"syneeqpy",34,"M","Basic",2016,5,"Adult",1,0
"wuqbucah",40,"F","Basic",2016,5,"Adult",1,0
"einjcmtb",18,"M","Basic",2016,5,"Young",1,0
"imqbglxh",39,"M","Premium",2016,5,"Adult",1,0
"qgshwbqu",25,"M","Premium",2016,5,"Young",1,0
"ddbnzdmg",17,"M","Basic",2016,5,"Youth",1,0
"fzixiymt",30,"M","Basic",2016,5,"Young",1,0
"qauaducg",19,"F","Basic",2016,5,"Young",1,0
"bybnaeie",20,"M","Basic",2016,5,"Young",1,0
"lxrpdgiy",14,"F","Basic",2016,5,"Youth",1,0
"ogxptegs",22,"F","Basic",2016,5,"Young",1,0
"hcxwlpoh",23,"M","Basic",2016,5,"Young",1,0
"ipbxroxl",36,NA,"Basic",2016,5,"Adult",1,0
"eezdrliv",29,"M","Basic",2016,5,"Young",1,0
"sfmoilcn",12,"M","Basic",2016,5,"Youth",1,0
"tsywlepr",36,"M","Basic",2016,5,"Adult",1,0
"zdrokaed",34,"F","Basic",2016,5,"Adult",1,0
"xyqovnjr",34,"F","Premium",2016,5,"Adult",1,0
"qhpqflda",34,"M","Basic",2016,5,"Adult",1,0
"mbumxtmu",26,"F","Basic",2016,5,"Young",1,0
"ncqgjnsg",10,"M","Basic",2016,5,"Youth",1,0
"qdndelxr",11,"M","Basic",2016,5,"Youth",1,0
"zehzbxhz",35,"M","Basic",2016,5,"Adult",1,0
"oqpybqxe",29,"M","Premium",2016,5,"Young",1,0
"xqwuvtkw",35,"M","Basic",2016,5,"Adult",1,0
"izwmnroj",15,"F","Premium",2016,5,"Youth",1,0
"gatycxyy",32,"F","Basic",2016,5,"Adult",1,0
"ukxqmbjk",24,"M","Basic",2016,5,"Young",1,0
"mshqdkkr",29,"M","Basic",2016,5,"Young",1,0
"xqtpvkzp",20,"M","Basic",2016,5,"Young",1,0
"asnzcrwn",25,"M","Premium",2016,5,"Young",1,0
"bgqkidcc",22,"M","Premium",2016,5,"Young",1,0
"uqqktqeu",18,"M","Basic",2016,5,"Young",1,0
"jvhpbugn",25,"F","Basic",2016,5,"Young",1,0
"kqokkbyx",30,"F","Basic",2016,5,"Young",1,0
"gkeqfxgb",15,"M","Basic",2016,5,"Youth",1,0
"kvrrhrov",18,"M","Basic",2016,5,"Young",1,0
"lgxrrnrd",40,"M","Basic",2016,5,"Adult",1,0
"mgoulrqv",32,"F","Premium",2016,5,"Adult",1,0
"qeyfqztk",28,"M","Basic",2016,5,"Young",1,0
"cbfevpex",18,"F","Basic",2016,5,"Young",1,0
"wjwbmyiy",12,"M","Basic",2016,5,"Youth",1,0
"rojxnnjy",16,"M","Basic",2016,5,"Youth",1,0
"avowshye",12,"M","Premium",2016,5,"Youth",1,0
"jnlwvvob",34,"M","Basic",2016,5,"Adult",1,0
"lahqdtga",15,"M","Basic",2016,5,"Youth",1,0
"uehljpdn",17,"M","Basic",2016,5,"Youth",1,0
"yusiecag",28,"M","Basic",2016,5,"Young",1,0
"bojuekvk",32,"F","Basic",2016,5,"Adult",1,0
"bhhodzeg",35,"M","Basic",2016,5,"Adult",1,0
"mtmkwoon",14,"M","Basic",2016,5,"Youth",1,0
"inclxqca",20,"M","Basic",2016,5,"Young",1,0
"vcnupbuh",12,"F","Basic",2016,5,"Youth",1,0
"zuomhasm",21,"M","Premium",2016,5,"Young",1,0
"gtjlrcgh",22,"M","Premium",2016,5,"Young",1,0
"irckphhl",24,"M","Basic",2016,5,"Young",1,0
"kwjyhwzi",17,"M","Basic",2016,5,"Youth",1,0
"hwhvjics",29,"M","Premium",2016,5,"Young",1,0
"lbtdudyt",26,"M","Basic",2016,5,"Young",1,0
"rjrzyuma",19,"F","Basic",2016,5,"Young",1,0
"ubswnnrl",39,"F","Basic",2016,5,"Adult",1,0
"wbvsngph",32,"M","Basic",2016,5,"Adult",1,0
"epuspclt",26,"M","Basic",2016,5,"Young",1,0
"slrbrlqd",11,"M","Premium",2016,5,"Youth",1,0
"fimwcevd",33,"M","Basic",2016,5,"Adult",1,0
"yrfmqsha",26,"F","Basic",2016,5,"Young",1,0
"zfprrfjm",40,"F","Basic",2016,5,"Adult",1,0
"zdaoiaph",14,"M","Basic",2016,5,"Youth",1,0
"xqtyxccj",31,"F","Basic",2016,5,"Adult",1,0
"acwrvsze",30,"M","Basic",2016,5,"Young",1,0
"zllqzzgj",27,"M","Basic",2016,5,"Young",1,0
"bfkiskou",28,"F","Basic",2016,5,"Young",1,0
"vuxxdjfz",23,"M","Basic",2016,5,"Young",1,0
"ltdkmfxr",31,"M","Basic",2016,5,"Adult",1,0
"wlbhbppt",29,"M","Basic",2016,5,"Young",1,0
"yshdxyyf",21,"M","Basic",2016,5,"Young",1,0
"pkiwmcfo",33,"M","Basic",2016,5,"Adult",1,0
"jeahumvr",38,"M","Premium",2016,5,"Adult",1,0
"czklhwqr",33,"M","Basic",2016,5,"Adult",1,0
"wdqmiivl",10,NA,"Basic",2016,5,"Youth",1,0
"udkksxjz",16,"M","Premium",2016,5,"Youth",1,0
