"sex","age","Recency","Frequency","Monetary","Churn"
"M",31,13,31,1853738,"No"
"M",35,3,39,1852747,"No"
"M",11,20,13,1361846,"No"
"F",17,1,26,1259418,"No"
"M",40,23,11,425800,"No"
"M",18,4,10,456681,"No"
"M",11,8,14,1084463,"No"
"M",10,21,10,1214188,"No"
"F",31,20,10,622230,"No"
"F",16,9,9,1909766,"No"
"M",33,9,14,422754,"No"
"M",20,8,47,1431436,"No"
"M",31,21,6,1803441,"No"
"M",11,7,33,699441,"No"
"M",15,16,27,357223,"No"
"F",37,16,14,1990908,"No"
"F",29,5,31,121484,"No"
"M",34,13,18,1264959,"No"
"M",16,13,40,1465568,"No"
"F",22,24,43,145362,"No"
"M",40,5,19,1966514,"No"
"M",34,16,17,506735,"No"
"M",37,16,11,1573960,"No"
"F",26,19,46,1409322,"No"
"M",39,14,6,718339,"No"
"M",15,19,43,76819,"No"
"M",10,12,41,614805,"No"
"F",16,21,27,351901,"No"
"F",34,20,10,1447898,"No"
"M",24,4,12,995597,"No"
"M",40,2,24,1568909,"No"
"M",37,2,45,1107630,"No"
"M",31,9,44,632558,"No"
"M",13,22,15,1863072,"No"
"M",11,14,5,457956,"No"
"M",19,7,37,1467229,"No"
"M",23,13,9,378024,"No"
"M",23,4,15,1031684,"No"
"M",17,13,21,1254794,"No"
"M",25,5,20,1579267,"No"
"F",39,15,49,376079,"No"
"F",22,19,17,635890,"No"
"M",23,7,15,1852188,"No"
"M",28,18,8,1205922,"No"
"M",21,6,5,172292,"No"
"F",16,15,20,544769,"No"
"F",21,7,21,599246,"No"
"M",33,7,6,1453376,"No"
"M",10,23,6,1266317,"No"
"M",25,10,42,1190682,"No"
"M",24,10,8,1900518,"No"
"F",37,17,16,1927463,"No"
"F",14,13,26,956210,"No"
"F",27,1,34,489178,"No"
"M",22,21,37,1541834,"No"
"M",31,4,21,1411094,"No"
"F",39,13,33,446343,"No"
"M",28,14,11,988801,"No"
"M",30,17,26,1412140,"No"
"M",25,4,28,266024,"No"
"M",33,11,10,1176663,"No"
"M",30,16,42,1982257,"No"
"F",11,22,45,147812,"No"
"M",37,19,8,127658,"No"
"F",17,14,25,758573,"No"
"F",16,20,49,1783973,"No"
"F",17,22,41,337660,"No"
"M",40,9,39,1963253,"No"
"M",34,16,19,253790,"No"
"M",34,17,17,768769,"No"
"F",37,6,37,1092483,"No"
"F",25,19,45,416156,"No"
"M",13,15,8,439986,"No"
"M",29,5,19,781318,"No"
"M",19,7,39,1459609,"No"
"F",27,12,46,1411317,"No"
"F",39,16,34,1262004,"No"
"F",36,23,24,836283,"No"
"M",33,9,27,328702,"No"
"F",13,10,40,67223,"No"
"F",28,8,19,304241,"No"
"M",39,15,30,1914704,"No"
"F",36,22,31,1869750,"No"
"M",18,22,22,1195851,"No"
"M",40,1,44,117265,"No"
"M",35,20,41,68180,"No"
"M",38,11,22,1641477,"No"
"M",31,6,49,1462737,"No"
"F",20,7,32,791010,"No"
"F",18,24,14,1278778,"No"
"M",22,14,48,1776622,"No"
"M",15,19,15,912076,"No"
"M",35,11,42,275243,"No"
"F",21,20,19,660011,"No"
"M",33,8,28,1999845,"No"
"M",24,1,43,206191,"No"
"M",37,7,37,639700,"No"
"M",11,14,17,1580419,"No"
"M",35,3,36,1918624,"No"
"M",21,19,43,1091827,"No"
"M",22,10,23,1207040,"No"
"F",22,5,40,1296915,"No"
"M",25,23,22,1766340,"No"
"F",19,23,47,435257,"No"
"M",36,23,11,1906609,"No"
"M",39,13,11,138451,"No"
"M",20,3,9,1309642,"No"
"M",38,10,15,223989,"No"
"F",30,1,42,1280409,"No"
"M",23,16,19,254458,"No"
"M",33,6,9,167093,"No"
"M",11,24,23,1856045,"No"
"F",40,15,36,300364,"No"
"M",22,8,50,830203,"No"
"F",36,9,7,1283604,"No"
"M",12,21,40,1987541,"No"
"M",26,22,41,650317,"No"
"M",22,19,15,921779,"No"
"M",24,1,40,868431,"No"
"F",26,14,20,1640978,"No"
"M",30,12,44,179150,"No"
"M",12,19,6,907945,"No"
"M",36,1,40,353179,"No"
"M",21,21,43,957311,"No"
"M",13,1,12,678471,"No"
"M",10,19,44,302670,"No"
"F",12,10,17,1779944,"No"
"M",24,12,21,1330659,"No"
"M",16,6,29,680371,"No"
"M",34,19,25,1105594,"No"
"M",28,22,32,1182248,"No"
"M",21,22,17,1259641,"No"
"M",31,7,21,1835611,"No"
"M",21,23,45,428997,"No"
"F",10,19,47,1241602,"No"
"M",14,20,13,1148977,"No"
"M",36,11,5,1075930,"No"
"M",30,23,33,478251,"No"
"F",28,24,20,131484,"No"
"F",30,20,12,1533294,"No"
"M",27,9,23,182631,"No"
"M",32,9,40,909068,"No"
"M",24,11,36,1107333,"No"
"M",30,20,9,101527,"No"
"F",15,19,22,298748,"No"
"M",14,10,12,204928,"No"
"M",39,17,40,1924289,"No"
"M",12,20,41,151978,"No"
"M",18,6,50,1388811,"No"
"M",26,20,49,1471916,"No"
"M",37,7,48,476522,"No"
"F",32,15,27,337197,"No"
"M",34,16,27,373881,"No"
"M",14,11,14,296319,"No"
"F",33,1,42,602529,"No"
"M",24,21,16,795268,"No"
"M",10,21,18,401075,"No"
"F",38,13,28,177379,"No"
"M",23,3,13,835880,"No"
"M",25,7,10,311953,"No"
"M",31,21,15,733418,"No"
"M",22,2,48,1174667,"No"
"M",36,18,32,1257935,"No"
"M",16,22,14,364387,"No"
"M",34,6,32,1380880,"No"
"F",35,12,35,1201307,"No"
"F",34,1,9,779193,"No"
"F",26,24,28,293157,"No"
"M",17,2,33,1176510,"No"
"M",13,23,28,1583445,"No"
"M",12,19,28,1081164,"No"
"F",34,16,14,1111123,"No"
"F",14,10,46,1780063,"No"
"F",26,6,11,1955688,"No"
"F",33,13,23,1083369,"No"
"M",25,12,27,1926579,"No"
"M",23,17,19,1130830,"No"
"M",31,2,10,1450677,"No"
"M",28,10,36,468259,"No"
"M",21,1,18,1103561,"No"
"F",31,12,34,1334431,"No"
"M",21,24,35,300095,"No"
"M",27,22,5,1744617,"No"
"M",21,1,10,1102556,"No"
"F",15,17,26,1085779,"No"
"M",21,1,11,1439218,"No"
"M",34,2,27,1959580,"No"
"M",33,10,44,872868,"No"
"M",29,5,38,347474,"No"
"F",11,16,50,105637,"No"
"M",11,8,43,1897399,"No"
"F",12,21,22,1316507,"No"
"M",17,18,5,1672241,"No"
"M",25,23,39,1006760,"No"
"F",26,23,36,1371887,"No"
"F",31,11,46,1299813,"No"
"M",32,20,15,818046,"No"
"M",16,12,22,557289,"No"
"M",33,22,32,636887,"No"
"M",28,2,29,325906,"No"
"M",21,20,50,227056,"No"
"M",19,12,44,660621,"No"
"M",37,15,7,1658742,"No"
"M",13,6,37,798692,"No"
"M",14,19,27,371265,"No"
"M",22,9,16,1336780,"No"
"F",32,12,32,179797,"No"
"M",23,16,10,558626,"No"
"F",10,22,11,1191789,"No"
"F",33,18,31,628108,"No"
"M",22,18,10,965371,"No"
"M",22,21,49,159982,"No"
"F",10,4,17,848173,"No"
"M",39,8,34,1295353,"No"
"F",12,11,45,1858300,"No"
"F",22,7,11,1006872,"No"
"F",22,2,50,1090139,"No"
"F",11,7,49,1802392,"No"
"F",35,23,39,1367372,"No"
"M",26,19,20,315933,"No"
"F",10,11,42,872574,"No"
"M",39,2,33,1268495,"No"
"M",14,24,40,1503286,"No"
"M",26,7,44,1905068,"No"
"F",32,10,34,536862,"No"
"M",16,11,18,1967147,"No"
"M",33,2,42,376928,"No"
"M",18,7,25,668143,"No"
"M",25,22,11,285697,"No"
"M",39,14,47,546552,"No"
"M",29,7,41,1904357,"No"
"M",32,15,20,1721468,"No"
"F",29,5,20,1772318,"No"
"M",28,21,25,285384,"No"
"F",29,12,34,782852,"No"
"F",28,24,6,1828108,"No"
"M",27,22,9,175840,"No"
"M",11,13,10,379410,"No"
"F",14,3,5,1290716,"No"
"M",33,3,32,68893,"No"
"M",39,19,48,107817,"No"
"F",17,5,21,1097482,"No"
"M",26,18,19,1843301,"No"
"M",28,18,44,1328383,"No"
"F",25,4,18,192334,"No"
"M",18,23,8,1085157,"No"
"M",24,11,11,1040866,"No"
"F",11,12,7,68329,"No"
"F",29,8,40,131472,"No"
"F",31,13,45,1440330,"No"
"M",34,13,16,1048772,"No"
"F",39,19,24,1133668,"No"
"M",32,21,37,235344,"No"
"M",35,15,48,1083364,"No"
"M",32,9,25,800151,"No"
"F",23,13,40,785914,"No"
"F",20,12,20,78887,"No"
"M",10,3,41,1111505,"No"
"M",14,15,36,1480349,"No"
"F",14,6,22,214827,"No"
"M",16,16,28,430746,"No"
"F",19,24,18,1674180,"No"
"M",22,19,50,699663,"No"
"F",24,17,49,457461,"No"
"F",34,17,34,1262930,"No"
"M",20,9,22,1677502,"No"
"M",33,7,43,559965,"No"
"M",34,23,50,1198214,"No"
"M",14,4,11,1515568,"No"
"M",29,6,21,1708620,"No"
"F",30,2,50,1250650,"No"
"F",26,13,35,1477279,"No"
"M",36,15,26,835705,"No"
"F",29,20,49,1579987,"No"
"F",10,7,17,1775472,"No"
"M",16,1,49,665923,"No"
"F",17,11,11,740954,"No"
"M",33,15,17,929683,"No"
"M",12,24,22,990348,"No"
"M",21,9,37,1224744,"No"
"F",28,3,36,1389085,"No"
"M",14,20,24,52994,"No"
"M",23,9,46,467527,"No"
"M",34,18,31,1511467,"No"
"M",24,7,31,731543,"No"
"M",17,2,20,1513833,"No"
"F",23,16,45,1395259,"No"
"M",28,24,25,914364,"No"
"M",17,2,32,127485,"No"
"M",17,14,47,484040,"No"
"M",23,6,14,1255988,"No"
"M",16,2,35,94952,"No"
"M",37,18,12,874553,"No"
"M",13,12,40,1781105,"No"
"M",22,1,43,1537730,"No"
"M",35,1,6,463697,"No"
"F",21,21,10,1782029,"No"
"F",14,1,36,320421,"No"
"M",34,10,33,1570658,"No"
"M",28,22,30,1516620,"No"
"M",19,10,11,249116,"No"
"M",16,13,41,1755766,"No"
"M",22,11,11,582955,"No"
"M",36,20,26,353803,"No"
"F",11,11,20,337392,"No"
"M",23,1,41,1974580,"No"
"M",40,8,29,861542,"No"
"M",33,19,9,1081518,"No"
"F",12,20,17,539604,"No"
"M",30,16,7,877916,"No"
"F",21,15,15,1696546,"No"
"M",32,3,26,1622467,"No"
"M",27,14,41,629001,"No"
"M",15,2,32,196801,"No"
"M",29,1,14,818611,"No"
"M",15,9,8,1760018,"No"
"F",32,13,8,740304,"No"
"F",11,8,29,1886703,"No"
"F",21,3,10,1296867,"No"
"F",30,1,6,569791,"No"
"M",21,10,32,1895733,"No"
"M",34,23,16,1734432,"No"
"M",15,15,32,613751,"No"
"M",35,10,47,1710060,"No"
"F",40,1,39,1304392,"No"
"M",11,20,6,231376,"No"
"M",21,18,5,1433168,"No"
"M",19,19,33,453191,"No"
"M",26,13,24,222957,"No"
"M",27,14,38,1826348,"No"
"F",25,18,32,1387981,"No"
"F",11,17,47,1578349,"No"
"M",38,20,6,1285767,"No"
"F",35,1,18,588193,"No"
"M",18,19,12,1849387,"No"
"M",33,18,17,1216496,"No"
"F",40,9,31,335541,"No"
"F",39,12,47,233036,"No"
"M",34,5,43,1848955,"No"
"M",13,14,20,609110,"No"
"M",29,9,18,1497135,"No"
"M",16,22,6,480839,"No"
"F",27,15,23,358884,"No"
"F",10,20,18,478334,"No"
"F",10,17,18,1777544,"No"
"M",16,24,42,1263568,"No"
"F",13,3,34,1674271,"No"
"F",26,7,32,945232,"No"
"M",32,17,10,1768128,"No"
"M",30,6,8,1951695,"No"
"M",23,9,10,238419,"No"
"M",39,7,11,88089,"No"
"M",11,18,18,545243,"No"
"M",40,21,39,1439003,"No"
"M",14,12,48,1892759,"No"
"M",21,16,41,1951915,"No"
"M",35,3,20,1676275,"No"
"M",17,1,15,79207,"No"
"M",15,3,38,886851,"No"
"M",24,24,13,498529,"No"
"M",32,11,49,783917,"No"
"M",26,6,27,1070135,"No"
"F",17,17,19,1160949,"No"
"M",35,24,49,1258829,"No"
"M",11,15,44,729984,"No"
"M",18,21,11,1581398,"No"
"M",22,8,45,1138550,"No"
"F",10,8,42,1471034,"No"
"M",24,5,42,62578,"No"
"M",11,18,21,578096,"No"
"F",19,23,44,754232,"No"
"M",39,3,35,1761383,"No"
"M",22,7,30,1005797,"No"
"M",29,7,43,1209140,"No"
"M",29,21,7,1141577,"No"
"M",28,15,41,1904829,"No"
"M",32,17,38,315956,"No"
"M",39,8,10,397269,"No"
"M",34,7,44,1993792,"No"
"M",34,16,32,1703071,"No"
"F",34,16,50,1304730,"No"
"M",34,19,22,1295375,"No"
"M",13,20,31,1836454,"No"
"M",21,19,30,612115,"No"
"F",11,23,37,332100,"No"
"M",25,14,48,501747,"No"
"M",10,16,26,97440,"No"
"M",16,23,50,1050451,"No"
"M",37,23,35,1556784,"No"
"F",12,3,47,953995,"No"
"F",11,20,49,124963,"No"
"M",22,23,29,1503515,"No"
"F",15,20,28,995659,"No"
"F",40,9,8,300264,"No"
"M",18,8,27,1026908,"No"
"F",19,14,36,1975905,"No"
"M",15,11,24,1093653,"No"
"M",10,1,25,1757918,"No"
"M",18,4,37,1034894,"No"
"M",12,20,36,1993543,"No"
"F",32,6,20,274605,"No"
"F",37,8,49,1283088,"No"
"M",19,7,28,843094,"No"
"M",11,18,10,1385262,"No"
"M",13,3,49,807400,"No"
"M",10,18,31,786223,"No"
"M",26,13,30,711191,"No"
"M",14,1,15,778824,"No"
"F",30,17,7,1768901,"No"
"M",20,24,17,565593,"No"
"M",25,19,49,1144412,"No"
"M",14,20,38,1579505,"No"
"M",16,18,9,251685,"No"
"F",22,14,41,1783200,"No"
"F",10,9,32,181087,"No"
"M",28,12,9,401222,"No"
"M",31,21,49,378167,"No"
"M",13,4,17,769553,"No"
"M",17,5,50,584082,"No"
"M",29,11,15,1990178,"No"
"M",34,11,13,665145,"No"
"M",19,2,30,899812,"No"
"M",27,23,9,1817131,"No"
"F",16,6,11,369780,"No"
"M",40,11,17,1895222,"No"
"M",38,13,32,1291327,"No"
"F",36,10,15,1606551,"No"
"F",18,10,5,509472,"No"
"M",36,19,33,725428,"No"
"M",11,2,43,965594,"No"
"M",16,16,24,204036,"No"
"F",24,17,39,1020829,"No"
"M",17,11,37,704035,"No"
"F",26,3,16,1736472,"No"
"M",25,9,16,1544018,"No"
"F",20,12,16,158397,"No"
"F",37,8,39,1114882,"No"
"F",23,22,11,149108,"No"
"M",35,2,5,1791462,"No"
"M",32,10,19,724309,"No"
"F",18,6,42,789692,"No"
"M",39,8,20,1013345,"No"
"M",32,10,28,1157519,"No"
"F",39,19,19,319468,"No"
"F",10,7,44,489989,"No"
"M",19,6,25,1101646,"No"
"M",16,4,36,908354,"No"
"M",32,24,46,1137647,"No"
"F",11,17,50,1254098,"No"
"M",17,9,31,1127796,"No"
"F",30,23,34,1227094,"No"
"M",29,17,27,664826,"No"
"M",34,4,25,226027,"No"
"M",17,15,47,96189,"No"
"M",25,5,12,310545,"No"
"M",39,21,47,1888108,"No"
"M",19,9,39,470387,"No"
"M",24,1,41,842452,"No"
"M",39,18,32,1238496,"No"
"F",25,20,35,88597,"No"
"M",31,15,16,59438,"No"
"M",40,13,7,191722,"No"
"M",20,24,46,1285621,"No"
"F",21,22,22,87646,"No"
"F",37,9,26,801994,"No"
"F",38,2,14,1341114,"No"
"M",32,16,21,1450972,"No"
"F",25,17,21,1256692,"No"
"M",21,14,12,872395,"No"
"F",13,5,48,585607,"No"
"F",17,11,20,1118644,"No"
"F",25,22,19,889945,"No"
"M",33,3,13,1462471,"No"
"M",39,2,40,1885959,"No"
"M",25,13,44,175447,"No"
"M",33,6,25,1014601,"No"
"M",21,8,28,760893,"No"
"F",39,12,48,1723429,"No"
"M",23,12,16,777526,"No"
"M",18,15,28,72921,"No"
"M",23,9,41,1890142,"No"
"F",16,13,25,608645,"No"
"M",16,22,21,856511,"No"
"M",10,15,31,1160972,"No"
"M",21,9,18,240021,"No"
"F",28,5,37,263015,"No"
"M",30,17,48,408894,"No"
"M",27,20,36,1032001,"No"
"M",37,9,41,867009,"No"
"M",31,11,41,1367021,"No"
"F",38,11,25,1574968,"No"
"M",18,1,31,266545,"No"
"M",16,21,34,590083,"No"
"M",35,21,34,972108,"No"
"F",35,7,9,738211,"No"
"M",38,15,17,491667,"No"
"F",23,5,39,1317357,"No"
"F",39,20,9,1918212,"No"
"F",16,9,9,1022340,"No"
"M",16,11,36,1447655,"No"
"M",35,12,34,1220467,"No"
"M",34,24,15,254824,"No"
"F",13,16,19,173103,"No"
"M",18,10,36,1051345,"No"
"M",39,7,26,1765177,"No"
"M",27,21,19,434788,"No"
"F",24,24,21,510760,"No"
"M",14,4,28,1677242,"No"
"M",20,21,7,1758305,"No"
"F",18,11,37,1469110,"No"
"F",23,6,38,1104900,"No"
"M",14,1,16,1189979,"No"
"F",23,23,24,1365733,"No"
"M",13,8,8,771638,"No"
"M",36,4,13,228033,"No"
"M",37,15,49,1370981,"No"
"M",22,5,50,1546146,"No"
"F",28,19,9,1113522,"No"
"M",31,24,34,1360618,"No"
"M",22,24,30,63018,"No"
"M",27,23,42,1777426,"No"
"M",35,7,6,910944,"No"
"M",13,14,22,334751,"No"
"M",17,20,23,1770329,"No"
"M",18,2,25,85001,"No"
"M",17,14,43,1604252,"No"
"F",13,19,31,731865,"No"
"F",24,1,36,1265009,"No"
"M",18,18,39,210708,"No"
"M",23,24,11,1364426,"No"
"M",15,19,35,1827565,"No"
"F",20,17,17,1496087,"No"
"M",32,21,24,997631,"No"
"M",19,19,42,1512385,"No"
"M",18,21,6,466497,"No"
"M",19,13,41,147568,"No"
"M",26,7,49,386759,"No"
"M",19,16,9,927404,"No"
"F",37,9,50,1116948,"No"
"M",16,2,37,1966616,"No"
"M",33,10,30,309170,"No"
"F",19,4,33,1986922,"No"
"M",22,23,38,1925655,"No"
"F",32,3,39,551903,"No"
"M",38,20,37,291891,"No"
"M",17,12,45,678007,"No"
"F",25,20,18,596571,"No"
"F",16,9,25,835247,"No"
"M",13,1,47,757623,"No"
"M",24,16,42,268076,"No"
"F",11,5,5,1116319,"No"
"M",34,5,6,1970355,"No"
"M",16,23,17,1774631,"No"
"M",32,9,33,236214,"No"
"M",29,16,48,1227048,"No"
"F",31,23,31,443196,"No"
"F",22,22,48,1097247,"No"
"F",34,8,19,1841816,"No"
"M",36,10,48,1937794,"No"
"M",28,15,24,511309,"No"
"M",32,22,40,1367191,"No"
"M",35,21,50,518482,"No"
"M",40,14,10,1069581,"No"
"M",29,10,50,1811582,"No"
"F",36,3,24,1699733,"No"
"F",16,15,33,625306,"No"
"M",24,4,6,1311920,"No"
"M",22,13,14,1223185,"No"
"F",36,2,36,1632246,"No"
"F",16,3,18,1277982,"No"
"M",37,14,36,618126,"No"
"M",36,20,6,622713,"No"
"M",12,2,24,77446,"No"
"M",10,16,13,1753680,"No"
"M",21,16,18,1079104,"No"
"F",39,12,12,367790,"No"
"F",31,4,18,950170,"No"
"M",29,18,11,1494968,"No"
"M",21,2,14,636394,"No"
"M",10,16,9,257974,"No"
"M",13,2,18,1449740,"No"
"M",31,24,47,1399344,"No"
"F",14,22,21,68109,"No"
"F",21,6,5,806291,"No"
"M",36,6,14,1766858,"No"
"M",24,17,48,1588413,"No"
"M",30,22,39,543810,"No"
"M",17,19,5,608674,"No"
"M",14,21,43,1739846,"No"
"M",18,14,17,1737284,"No"
"F",15,4,16,457133,"No"
"M",26,4,21,287793,"No"
"M",30,1,43,1111722,"No"
"M",37,15,10,165286,"No"
"M",39,13,31,1234185,"No"
"F",19,7,39,1184682,"No"
"F",28,12,34,1720997,"No"
"M",20,9,29,353077,"No"
"M",30,14,28,1299461,"No"
"M",22,15,22,1103961,"No"
"F",15,16,11,172002,"No"
"M",30,1,12,1155339,"No"
"M",29,22,46,172135,"No"
"M",20,22,24,1257625,"No"
"M",20,5,18,188290,"No"
"M",27,7,20,303967,"No"
"F",10,5,24,744190,"No"
"F",18,8,26,1959398,"No"
"F",22,3,10,996848,"No"
"F",37,17,16,745487,"No"
"F",17,22,45,1059139,"No"
"M",17,4,43,1829734,"No"
"M",35,15,9,427863,"No"
"M",18,7,12,1769332,"No"
"M",39,10,49,412612,"No"
"M",34,15,25,639110,"No"
"M",22,15,47,1003977,"No"
"M",24,3,10,436026,"No"
"F",23,21,25,388117,"No"
"M",31,10,13,448423,"No"
"M",24,1,11,1890253,"No"
"M",34,4,25,78975,"No"
"M",32,23,16,1198876,"No"
"M",17,11,13,537772,"No"
"M",39,7,49,618271,"No"
"M",17,9,48,961923,"No"
"M",40,5,42,719115,"No"
"F",20,21,36,1750206,"No"
"F",13,18,29,1468749,"No"
"M",22,5,16,1313113,"No"
"F",24,5,41,550287,"No"
"M",37,14,22,1736617,"No"
"F",40,24,12,1364154,"No"
"M",16,21,7,263743,"No"
"M",38,18,5,1153943,"No"
"M",27,8,25,1637530,"No"
"M",12,24,47,1119999,"No"
"F",14,7,44,1606824,"No"
"F",39,2,33,980962,"No"
"F",11,16,40,964392,"No"
"F",27,6,16,807131,"No"
"M",27,5,33,1716834,"No"
"M",10,11,30,662524,"No"
"F",13,10,20,1823869,"No"
"M",10,9,33,1182917,"No"
"M",27,11,27,1671559,"No"
"F",18,7,13,873647,"No"
"M",27,23,25,922145,"No"
"F",12,14,13,1310170,"No"
"M",32,18,15,1567464,"No"
"M",11,22,36,1603859,"No"
"M",23,16,37,570349,"No"
"M",38,13,8,1370226,"No"
"M",34,24,47,201117,"No"
"M",27,22,49,712410,"No"
"M",35,21,21,310819,"No"
"F",19,20,30,1987997,"No"
"M",30,20,11,231506,"No"
"M",28,15,31,1433696,"No"
"F",19,17,27,1515918,"No"
"M",31,3,14,1765306,"No"
"F",17,10,20,284330,"No"
"M",14,11,31,1535534,"No"
"M",23,7,50,1867071,"No"
"M",20,10,28,1839282,"No"
"M",40,14,34,1154669,"No"
"F",25,1,47,832090,"No"
"M",11,16,28,1467457,"No"
"F",37,6,6,1921678,"No"
"M",36,2,12,1113171,"No"
"M",18,18,12,1412154,"No"
"M",30,15,44,1053059,"No"
"M",12,21,50,1178423,"No"
"M",17,8,8,1443222,"No"
"M",34,21,43,1616171,"No"
"F",36,8,29,1933340,"No"
"M",27,24,6,998903,"No"
"F",37,22,30,433472,"No"
"M",32,3,21,689138,"No"
"F",24,20,34,1128500,"No"
"F",28,21,28,726650,"No"
"F",12,19,10,1152456,"No"
"M",10,2,6,715368,"No"
"M",15,2,23,679720,"No"
"F",20,23,38,1953226,"No"
