Title,Grade,Length,Genre,Rating,Users,BoxOfficeFirst,ScreenFirst,BoxOffice
Burlesque,PG-13,119,Drama,6.1,18583,11947744,3037,39440655
The Last Exorcism,PG-13,87,Drama,5.7,17132,20366613,2874,40990055
Step Up 3D,PG-13,107,Drama,5.5,14452,22831131,80,42385520
Killers,PG-13,100,Action,5,27207,15837226,2859,47000485
Wall Street: Money Never Sleeps,PG-13,133,Drama,6.3,36580,19011188,3565,52474616
Life as We Know It,PG-13,114,Comedy,6.3,24008,14506464,3150,53358964
Insidious,PG-13,103,Horror,6.8,45068,13271464,2408,53991137
Takers,PG-13,107,Action,5.9,20397,20512304,2206,57744720
Easy A,PG-13,92,Comedy,7.1,69809,17734040,2856,58401464
Why Did I Get Married Too?,PG-13,121,Comedy,3.2,4033,29289537,2155,60072596
The Bounty Hunter,PG-13,110,Action,5.2,31811,20686423,3074,67061228
The Tourist,PG-13,103,Action,5.9,60938,16472458,2756,67631157
Dinner for Schmucks,PG-13,114,Comedy,5.9,35551,23527839,2911,72980108
Skyline,PG-13,94,Action,4.5,38946,11962415,2880,78693371
Dear John,PG-13,108,Drama,5.9,22967,30468614,2969,80014842
Unstoppable,PG-13,98,Action,6.8,53047,22688457,3207,81557479
The Social Network,PG-13,120,Biography,8,172857,22445653,2771,96917897
Date Night,PG-13,88,Comedy,6.4,51476,25207599,3374,98711404
Hereafter,PG-13,129,Drama,6.7,37475,220322,6,103800000
Valentine's Day,PG-13,125,Comedy,5.7,34779,81994419,488,110476776
The Other Guys,PG-13,107,Action,6.6,62947,35543162,3651,119219978
Grown Ups,PG-13,102,Comedy,5.8,51303,40506562,3534,162001186
Clash of the Titans,PG-13,106,Action,5.8,83360,61235105,3777,163192114
The A-Team,PG-13,117,Action,6.9,78004,25669455,3535,177238796
Red,PG-13,111,Action,7,76388,21761408,3255,186100000
Eat Pray Love,PG-13,133,Drama,5.3,22677,23104523,3082,195773538
True Grit,PG-13,110,Adventure,7.9,100062,24850000,3047,244900000
Knight and Day,PG-13,109,Action,6.3,57605,20139985,3098,258804462
Inception,PG-13,148,Action,8.9,444968,62785337,3792,292576195
Salt,PG-13,100,Action,6.5,90302,36011243,3612,293503304
Harry Potter and the Deathly Hallows: Part 1,PG-13,146,Adventure,7.6,109749,125017327,4125,294980434
Eclipse,PG-13,124,Adventure,4.8,69443,83637242,4468,300523113
Little Fockers,PG-13,98,Comedy,5.3,31729,30833665,3536,310650585
Iron Man 2,PG-13,124,Action,7.1,126082,128122480,4380,312433331
Robin Hood,PG-13,140,Action,6.8,84980,36063385,3503,321669741
Prince of Persia: The Sands of Time,PG-13,116,Action,6.6,86277,1371066,468,335154643
As Good as Dead,R,100,Crime,5,715,1494,1,1494
Wrecked,R,91,Drama,5.1,4630,NA,NA,4821
The Dry Land,R,92,Drama,5.1,319,7351,5,7351
The Freebie,R,78,NA,5,823,4309,1,8300
Bloodworth,R,105,Drama,6.2,711,9612,10,9612
Ghetto Physics,R,94,Drama,2.9,48,10087,9,10087
Elektra Luxx,R,100,Comedy,5.1,2399,5601,4,10822
Peep World,R,79,Comedy,5.6,1523,6702,3,10908
Sympathy for Delicious,R,96,Drama,5.7,610,9448,2,13114
5 Days of War,R,113,Action,5.6,5269,6254,2,17149
Stake Land,R,98,Horror,6.6,9088,7258,1,18469
Ceremony,R,89,Comedy,5.7,1325,NA,NA,21666
Vanishing on 7th Street,R,92,Horror,4.9,10299,NA,NA,22197
Harvest,R,,Drama,4.6,54,1154,1,24073
Meet Monica Velour,R,98,Comedy,5.7,720,NA,NA,31649
The Trouble with Terkel,R,87,Animation,5.4,12,3972,2,35531
Ca$h,R,108,Comedy,6.1,3762,16469,27,46451
Dirty Girl,R,90,Drama,5.8,379,17859,9,53630
Night Catches Us,R,90,Drama,5.9,739,13562,4,73857
Beautiful Boy,R,100,Drama,6.5,1769,16162,4,77247
A Little Help,R,109,Comedy,5.5,857,44870,24,85789
I Spit on Your Grave,R,108,Crime,6.3,15427,32064,12,92401
Henry's Crime,R,108,Comedy,6,7226,NA,NA,101882
Trust,R,106,Drama,7,10500,58214,28,120016
Love Ranch,R,117,Comedy,5.3,1034,60353,11,134904
Road to Nowhere,R,121,Romance,5.7,589,2418,2,150237
Welcome to the Rileys,R,110,Drama,7,7312,42145,10,152857
Queen of the Lot,R,120,Comedy,3,42,22726,6,153430
Amigo,R,128,Drama,6.2,188,37324,10,170172
Twelve,R,93,Drama,5.5,5200,110238,231,181591
The Killer Inside Me,R,109,Crime,6.2,14444,124006,72,214966
Happythankyoumoreplease,R,100,Comedy,6.8,7507,35063,2,215576
Tucker and Dale vs Evil,R,89,Comedy,7.6,29498,1678,1,222011
Frozen,R,93,Drama,6.3,21407,131395,106,246177
Holy Rollers,R,89,Biography,5.8,2041,39685,3,302886
SUPER,R,96,Action,6.8,20778,46549,11,322157
Hesher,R,106,Drama,7.1,12718,126046,42,382946
I'm Still Here,R,108,Comedy,6.1,6089,96658,19,408719
The Extra Man,R,108,Comedy,5.9,2118,18861,2,453079
Submarine,R,97,Comedy,7.3,11228,244476,60,466702
The Virginity Hit,R,,Comedy,4.3,1975,301885,700,535249
Jack Goes Boating,R,91,Comedy,6.3,3492,28916,4,538808
All Good Things,R,101,Crime,6.3,9828,37172,2,578382
Howl,R,84,Animation,6.6,4157,51185,6,617334
Buried,R,95,Drama,7.1,51430,100268,11,1028658
Somewhere,R,97,Drama,6.4,15671,445234,12,1768416
Stone,R,105,Drama,5.5,17798,75766,6,1796024
Never Let Me Go,R,103,Drama,7.2,33205,111734,4,2412045
N-Secure,R,,Drama,2.6,334,1166406,486,2592808
Everything Must Go,R,97,Comedy,6.5,10426,791677,218,2711210
You Will Meet a Tall Dark Stranger,R,98,Comedy,6.4,13855,160103,6,3247816
The Runaways,R,106,Biography,6.6,16657,805115,244,3571735
Please Give,R,90,Comedy,6.5,5866,118123,5,4033268
Greenberg,R,107,Comedy,6.2,15218,118152,3,4216789
The Company Men,R,104,Drama,6.8,12675,647797,106,4439063
Beginners,R,105,Comedy,7.2,9000,141340,5,5776314
Winter's Bone,R,100,Drama,7.3,39249,84887,4,6531491
Conviction,R,107,Biography,7.2,14564,102351,11,6783129
London Boulevard,R,103,Crime,6.3,15072,577224,345,6872403
Cyrus,R,91,Comedy,6.4,14355,181716,4,7455447
Last Night,R,90,Drama,6.5,11473,NA,NA,7743923
MacGruber,R,90,Action,5.4,16793,4043495,2551,8460995
Blue Valentine,R,112,Drama,7.6,36202,193728,4,9701559
Let Me In,R,116,Drama,7.2,32395,5147479,2021,12134420
My Soul to Take,R,107,Horror,4.6,7350,6842220,2572,14637490
Going the Distance,R,102,Comedy,6.4,19211,8508290,3030,17804299
Repo Men,R,111,Action,6.3,40353,6126170,2521,18409891
The Kids Are All Right,R,106,Comedy,7.2,42928,491971,7,20803237
Faster,R,98,Action,6.5,29695,8523153,2454,23240020
Don't Be Afraid of the Dark,R,99,Fantasy,5.8,8708,8525728,2760,24042490
Machete,R,105,Action,7,71296,14102888,2670,26589953
How Do You Know,R,121,Comedy,5.3,15145,7484696,2483,30212620
The debt,R,113,Drama,7,10075,9949109,1826,31146570
The Debt,R,113,Drama,7,10520,9949109,1826,31146570
She's Out of My League,R,104,Comedy,6.5,37387,9775278,2956,31584722
Love and Other Drugs,R,112,Comedy,6.6,40404,9739161,2455,32357532
Green Zone,R,115,Action,7,50956,14309295,3003,35024475
For Colored Girls,R,133,Drama,5,3039,19497324,2127,37721949
The Crazies,R,101,Horror,6.6,41970,16067552,2,39103378
Death at a Funeral,R,92,Comedy,5.4,15542,16217540,2459,42739347
Cop Out,R,107,Action,5.6,33835,64935,127,44867349
Saw 3D: The Final Chapter,R,90,Crime,5.5,26745,24230123,2808,45670855
Kick-Ass,R,117,Action,7.9,170877,3881704,402,48043505
Hot Tub Time Machine,R,101,Adventure,6.5,58236,14020502,2754,50213619
127,R,94,Adventure,7.8,104112,264851,4,57547568
Get Him to the Greek,R,109,Comedy,6.5,57116,17570955,2697,60923325
The Wolfman,R,103,Drama,5.9,46472,NA,NA,61937495
The American,R,105,Crime,6.5,38912,16662333,2823,67876281
Edge of Darkness,R,117,Crime,6.6,39469,17214384,3066,81124129
Piranha,R,88,Comedy,5.9,34212,10106872,2470,83188165
The Town,R,125,Crime,7.6,101532,23808032,2861,92173235
The Fighter,R,116,Biography,8,88885,300010,4,93571803
The Book of Eli,R,118,Action,6.8,89942,38437553,3111,94822707
Sex and the City 2,R,146,Comedy,3.9,26872,36835353,3445,95328937
Due Date,R,95,Comedy,6.6,79679,32689406,3355,100448498
Black Swan,R,108,Drama,8.3,191595,1443809,18,106952327
A Nightmare on Elm Street,R,95,Horror,5.1,34128,32902299,3332,113400000
Predators,R,107,Action,6.5,69155,24760882,2699,127233108
Paranormal Activity 2,R,91,Horror,5.8,32125,40678424,3216,177512032
The Expendables,R,103,Action,6.6,101822,34825135,3270,266159621
Shutter Island,R,138,Drama,8,216844,41062440,2991,294804195
Resident Evil: Afterlife,R,97,Action,5.8,53849,26650264,3203,296221663
The King's Speech,R,118,Biography,8.3,134731,355450,4,373700000
Immigration Tango,R,92,Comedy,2.7,188,NA,NA,NA
