"sex","age","Computer","TV","Cellphone","Software","Frequency3","Monetary3","Monetary60"
1,17,0,0,2,6,8,1504204.1662264,6268148.68637156
0,20,5,1,1,0,7,1538017.07437507,1989601.64692844
0,36,2,1,1,4,8,1809988.62309599,7891100.57393557
1,32,1,1,2,6,10,2217801.26547347,4293162.32735302
1,11,5,1,2,6,14,2668675.94547461,5732893.12889735
0,28,4,0,0,3,7,1517683.36675813,2259579.30931039
1,11,1,0,0,0,1,885736.508878959,5837035.0929291
1,21,3,1,1,1,6,1799286.91674709,7017892.07557686
0,31,4,2,2,1,9,2154640.5046846,4524077.41730356
0,14,5,1,2,2,10,1762884.5240298,3986778.63747041
0,34,5,0,2,1,8,1692136.70532012,4610666.63434919
1,20,2,0,1,3,6,1518778.34333824,4108456.00116387
0,36,4,2,1,0,7,1861152.46558065,5288424.20481687
0,35,5,0,2,2,9,1825649.49812556,5677421.3675628
0,20,6,2,1,7,16,2365876.64208286,8776842.5690817
1,24,0,2,2,3,7,1921329.29896573,5214368.81836592
0,40,6,0,2,3,11,2696845.21383424,6377562.3809963
0,22,2,2,1,6,11,2492927.00773904,4438637.3762729
0,27,4,3,0,7,14,2054395.80344971,7761878.06541419
0,13,4,1,0,1,6,1735795.56816104,4588820.9998876
1,12,3,3,1,0,7,1828403.73234935,5771994.44295773
1,36,1,1,2,6,10,1904583.56220256,7026316.42267586
1,21,1,3,0,0,4,1465633.44218948,3826764.7511788
1,19,6,0,0,1,7,1569610.55472973,5405513.21694394
1,31,5,2,2,3,12,1271532.22941593,6141902.00551531
0,10,1,1,2,6,10,1910269.2557354,3488938.04278823
1,34,6,3,0,0,9,1829060.76424532,5611149.69805276
1,17,2,0,2,3,7,1985616.19715833,3888171.59415259
0,27,1,2,1,5,9,1884168.64972955,4409350.26635622
0,40,6,2,2,0,10,1996876.22104953,6261212.43535906
1,14,5,2,0,4,11,1850860.85197431,5183167.39641506
0,34,0,0,0,6,6,1892670.71942524,6052832.33128562
0,34,2,1,1,1,5,1081830.35616708,2695322.65443209
0,29,0,3,1,5,9,2067474.39364458,6993686.53733631
1,26,4,3,1,4,12,2442206.0218203,5677503.12980324
0,33,2,0,1,3,6,1695646.43152319,4319984.66909178
0,29,3,1,0,3,7,2150394.32674097,3870261.31474558
0,10,1,0,2,4,7,1603087.9959338,4547417.19374328
0,22,4,0,1,7,12,2173682.10462127,9429492.28520667
0,39,5,2,1,0,8,1837153.61703734,5310603.36733851
1,39,6,2,1,5,14,2066458.28329855,10741582.5686232
0,34,3,2,2,3,10,2327416.54691856,7423730.75269443
0,29,1,2,0,5,8,1748656.77871975,6650798.79448455
0,36,1,2,0,1,4,1593310.76068109,1972147.93425307
0,22,6,0,1,5,12,2143756.24433439,6881681.50859199
0,17,4,2,2,5,13,1287303.00273966,5857298.50129523
0,34,6,3,1,2,12,1554164.87039083,5873052.00294491
0,35,4,3,1,3,11,2305067.8437863,4183583.32785947
1,31,2,1,2,5,10,1226597.61672233,6360087.28479668
0,25,4,0,2,7,13,2922943.81328275,8072941.28861884
0,38,4,1,1,5,11,2818592.71326067,6915789.80572304
0,19,4,0,2,6,12,2559843.25684376,6729463.21536229
0,39,3,0,1,2,6,1996936.79298087,7211527.81072097
0,36,5,2,2,1,10,2185487.81079959,8609754.80663558
1,25,6,0,2,0,8,1927503.93640827,2010437.53459914
0,33,5,3,1,5,14,2332424.54325167,7674135.14661169
0,21,4,1,0,3,8,1776803.61625966,2307465.58070651
0,29,4,3,1,0,8,2262247.0894955,6087226.57393181
0,13,5,3,0,6,14,1840371.24604342,5803669.16022103
0,10,4,2,1,6,13,2404885.44174566,3480060.38900691
0,31,0,3,0,6,9,2083413.15046329,5164528.8917761
1,20,0,3,0,3,6,1541484.73536354,2593539.13405616
0,27,1,0,1,3,5,1287078.89721677,5038891.16092399
0,17,4,3,1,6,14,2363713.21962926,6518287.97175235
0,28,3,0,1,5,9,1422790.74773237,3905204.02536577
0,19,6,1,1,5,13,2425089.51635322,4451462.38426745
0,34,3,1,2,5,11,1794412.31898614,4531581.28411763
0,29,3,0,2,7,12,2206718.79232186,5364871.66016614
1,29,3,0,1,2,6,1707229.32426965,6276903.6525455
0,26,3,3,1,3,10,2553542.59641442,2628950.65331615
1,36,4,3,1,0,8,2100907.03574842,5038696.86278485
1,21,0,2,0,0,2,1156087.96937034,2855766.56484943
0,39,5,3,2,6,16,1980860.27011897,9060410.59185095
1,39,2,0,1,1,4,1422132.35517172,4581054.0821822
0,29,6,3,2,0,11,2005814.90351207,9426145.34631427
0,30,2,2,0,7,11,1995756.73546998,6455576.82383441
0,39,5,2,0,7,14,2109546.13123587,10047540.8113361
0,19,6,1,2,5,14,2147802.25142774,12528343.4330631
0,32,2,0,0,2,4,966638.97959685,2759715.00682497
0,12,0,0,1,4,5,1900875.43156465,3639187.20100313
1,37,2,3,1,7,13,2008011.97438146,6357352.32586969
0,32,6,2,0,4,12,2645618.63797931,8005592.09152794
0,35,5,3,1,7,16,2815181.78343509,7258573.78460782
1,16,0,2,0,1,3,1191377.82443315,4748259.47369412
0,11,2,0,0,2,4,1441018.60697775,4457658.93320685
1,14,6,0,0,5,11,1569778.53660416,6003750.81368772
0,30,6,0,0,5,11,1746293.53212128,4012266.93428746
1,10,4,2,0,1,7,2092691.22039561,4623625.48261552
1,19,0,2,1,0,3,1159689.80754992,1595941.24402077
0,23,6,3,1,2,12,2240652.82639416,10910371.3436674
1,19,2,0,0,5,7,1208372.09737096,3618415.36984826
1,34,1,1,1,1,4,1298182.08522796,1914941.0264052
0,20,4,0,1,1,6,1360793.67621405,5098671.57218312
0,23,5,1,2,0,8,1933802.61941482,2129062.74683748
0,34,1,1,1,4,7,2013612.52500476,5743905.32190239
0,19,2,0,2,7,11,2252662.76670045,5617605.23481909
1,19,3,3,0,7,13,2386003.57691454,10532494.2318032
1,21,6,3,0,6,15,3044528.46057163,7516650.74689983
0,20,3,1,1,6,11,2786724.24379402,8720200.25519519
0,29,3,2,2,0,7,2123911.60442485,2437629.99869836
1,25,3,1,0,1,5,1440488.47020224,5245556.21676491
0,40,4,0,1,2,7,1753092.14733604,7000362.17620692
0,40,6,3,0,1,10,1230800.88788899,4995895.52507782
1,15,1,0,1,1,3,1557386.2836857,5065594.87153093
0,34,3,1,2,4,10,2240963.19694348,6136928.36856194
0,15,0,3,1,4,8,1732276.31387988,7672648.26220807
0,30,5,1,1,7,14,2320357.67664897,5994407.75167897
0,22,3,3,1,1,8,1951775.75581306,5807527.27760035
1,10,6,3,1,6,16,2578603.73797588,9271829.53232886
0,25,0,2,1,6,9,1657470.31804648,6013846.45746931
1,28,0,1,1,1,3,1812160.07951053,3698740.28711981
0,32,2,2,1,7,12,2200310.8188196,7998557.29562019
1,24,3,0,2,0,5,1610665.58181997,5260050.11342648
0,22,0,2,0,3,5,1547690.11125594,3891526.81886953
0,26,2,0,0,7,9,2046181.10765007,5726282.56739678
0,31,3,0,1,4,8,1751679.27104933,3082102.23087789
0,15,0,1,2,5,8,2263507.48268554,3583904.3294865
1,19,4,1,1,6,12,1945801.78597341,5147734.07962797
0,38,0,1,2,6,9,2192249.96891116,2400158.87824318
0,37,2,3,1,7,13,2358119.23296297,7165975.49227556
1,40,6,0,1,4,11,1506450.0326642,5793801.86276803
1,11,0,3,0,1,4,962361.691701474,3201024.68968114
1,32,6,2,1,5,14,2234964.21813432,7144922.50127391
0,36,1,1,0,1,3,1420577.79369748,6496484.76040691
1,11,2,3,0,6,11,2152718.29426618,6309837.37512722
1,17,0,1,0,3,4,1513044.35484564,561255.733187265
0,25,0,3,1,0,4,1488120.24076893,4200355.15947024
0,18,3,0,2,4,9,2374447.93610095,2799693.72499519
1,33,2,2,0,6,10,1644560.44536793,6354091.26780376
1,15,2,1,0,6,9,1416592.23331605,4577717.18034624
0,21,5,2,2,0,9,1970757.43240767,10145848.148793
0,30,1,3,0,7,11,1759337.17896397,5556591.97914473
0,15,4,0,1,3,8,2378030.7856881,6864626.98156267
1,37,0,1,1,4,6,1629011.95065635,3138018.36195108
1,27,6,3,0,7,16,2331463.54411702,9188660.25709247
0,18,6,0,1,7,14,1912266.75009592,10999605.4756312
0,19,2,3,1,4,10,1950250.23326692,5790060.10729317
0,16,3,0,2,4,9,2020213.58625986,3539467.99973134
1,17,2,3,0,0,5,1339723.13079572,4614463.43570688
0,20,0,2,2,3,7,1519899.09121396,2814376.40254992
1,27,0,1,0,0,1,1151555.76278153,2561196.44031366
0,22,2,3,1,4,10,1354905.47885327,9615925.63505326
0,39,6,3,0,4,13,1383969.60172622,8415458.08378204
0,21,5,0,0,4,9,2055783.99209447,8497417.90752945
0,30,4,0,1,1,6,1479551.24504975,6532154.80526309
0,39,5,0,0,0,5,1357085.72590292,1440887.52538334
0,38,4,3,2,2,11,2277090.20454874,4355525.69907331
0,21,2,2,1,0,5,1901673.57556366,6483813.77318088
0,17,5,0,2,1,8,2101664.11969332,1749904.27743914
0,23,5,1,1,5,12,2238726.83669599,8101053.17355268
1,21,6,1,1,1,9,2173127.52855485,2824903.53858138
0,38,1,0,1,7,9,1979356.6601904,7040963.4726504
1,30,2,3,0,2,7,1474943.48676964,3715606.01218396
0,28,6,1,2,6,15,2388558.44478203,5450774.23776827
0,30,4,0,2,3,9,1508746.17243619,6954813.63103733
1,31,5,1,1,7,14,2662762.86087444,9955802.42412635
0,10,3,0,0,0,3,1523856.50136349,4561857.80893708
0,32,4,2,0,5,11,2416885.0823048,6136208.77401452
1,23,5,3,1,4,13,3053586.64475154,7432203.86950905
0,34,1,1,1,6,9,1901053.99845266,6691974.69830762
0,38,6,1,2,6,15,1892486.51989431,4105052.46952898
0,19,6,1,1,5,13,2403841.35561974,6110892.33178003
0,36,5,0,1,5,11,2278312.95229182,1979977.00998477
0,23,4,0,1,4,9,2032460.08118224,4418018.62477574
0,21,6,0,0,0,6,1300214.26804319,4884950.99548542
0,31,6,0,2,7,15,2471792.01931885,8921720.10717764
0,22,4,2,0,1,7,1359082.79013292,6040187.49650731
0,37,5,0,0,2,7,1931414.09837258,6486664.35627611
0,30,4,2,0,7,13,2490117.33605955,9968966.15191144
0,15,4,0,1,5,10,2059697.57855604,4038454.05016145
1,27,6,1,2,6,15,1482050.75967501,6169674.20105147
0,32,1,2,0,2,5,1909484.17388246,4222203.00562773
0,14,3,1,0,0,4,1745102.66148767,4143061.11470999
0,21,5,0,0,0,5,1907404.82027025,5039998.94550283
1,40,5,0,0,4,9,2506871.93952698,6745060.20897762
0,13,0,3,2,5,10,1977853.07350601,6211134.4108377
0,39,2,2,0,5,9,1660984.29378554,5619185.27478268
0,12,0,2,0,0,2,1174988.86283201,4596582.61892149
1,33,0,3,0,7,10,1489541.49136166,5042116.03404927
1,28,1,1,0,4,6,1308463.46265325,5302608.27965422
1,17,1,3,1,3,8,1781286.48793937,5401748.17233313
1,31,1,0,1,6,8,1575869.2739517,6864268.77440411
0,24,6,1,1,3,11,2675892.64068657,7497815.40369167
0,39,3,3,2,5,13,2016978.46281201,9605300.06496051
0,28,3,0,2,6,11,1712851.61230727,7889094.78040608
0,27,1,0,0,1,2,1122242.27982138,3699105.08099948
0,32,5,0,1,5,11,2010731.62035554,5658848.18612409
0,33,5,2,1,5,13,2245538.36635228,10527568.2691134
1,17,5,2,0,0,7,2182448.25612825,2232945.80051589
0,10,2,1,0,5,8,1893529.31236651,4088514.38432843
0,27,2,2,1,4,9,1495409.64414445,5943050.8800672
1,28,1,0,0,7,8,1995339.58427249,8327399.19802966
1,31,5,3,0,3,11,2091073.27102283,2837755.3267403
0,29,4,2,0,1,7,2208117.69520024,6953342.42286791
1,31,3,1,0,7,11,1578348.90604333,8175584.80274579
1,31,0,0,2,0,2,1024674.45221119,2870796.99617038
1,19,5,2,0,3,10,1677657.55616334,9041937.87125384
1,21,2,2,1,5,10,1905840.49666144,4519861.63064599
0,11,4,1,1,5,11,2580238.42478468,9376454.95961767
1,23,2,1,0,2,5,1618195.65512478,4686745.65685221
0,19,1,0,0,7,8,1963632.76958548,4300260.52913303
0,40,2,1,1,6,10,2306307.51788274,5506197.66429036
0,28,5,1,1,3,10,1877866.79727805,5399521.40797589
0,20,0,3,0,0,3,1458610.25755123,3246931.8937302
0,31,2,1,1,6,10,1589986.26482867,6299176.30087964
0,25,2,2,1,3,8,1692006.15499432,5313305.17743401
0,29,6,0,1,5,12,2020338.54616822,4500727.81307484
0,25,6,1,2,5,14,2428852.2783132,4502636.53279982
1,37,3,3,2,1,9,1770231.70992025,3289123.75237585
1,20,4,0,1,4,9,1719339.01301834,4264140.69957521
0,16,4,1,2,3,10,1494367.29813702,6148812.04066381
0,20,2,0,1,5,8,1921869.60443598,4828378.91492269
1,19,2,2,1,0,5,1953321.73367256,5948617.5733897
0,10,4,2,2,4,12,2406103.29503392,8937147.2913238
1,30,1,3,1,1,6,1092952.49079982,4574203.43085519
0,18,0,3,0,5,8,1993981.53666003,7072986.0557261
1,11,0,2,0,7,9,1313796.96762616,3527627.18058651
0,30,0,2,2,4,8,1841484.11980351,5949591.54953943
0,14,5,3,0,0,8,1855508.58439308,6066621.76642104
0,39,4,2,1,0,7,1860834.7566417,2516416.08979715
0,16,3,0,1,5,9,2085012.15776763,4933132.28646776
0,11,5,0,0,3,8,2162123.86854691,4754724.1531911
0,35,3,3,0,4,10,1935998.62547113,5686893.56800952
0,13,2,2,0,2,6,952545.715364257,4432373.70891777
0,14,2,0,1,5,8,1309813.82559637,5783752.86251502
0,15,5,1,2,0,8,1787171.14259396,5235418.63898924
1,36,4,2,2,3,11,2029639.0195989,4892362.81198981
0,22,6,3,0,7,16,2511180.04133246,6678556.5157596
0,34,5,1,2,0,8,1882269.71732833,3010750.94600699
1,34,3,2,0,1,6,1821794.96539576,8509857.96826931
0,34,5,0,0,7,12,2336165.22977712,5805667.13470635
1,12,6,2,1,1,10,1782869.02063613,4637163.6149338
0,23,6,2,2,2,12,1338907.88628962,5959798.4079046
0,15,5,0,0,0,5,1285921.93345488,2901309.19837017
1,31,0,0,0,5,5,1521567.80031872,3575601.39157165
1,15,2,2,0,0,4,1351471.02860261,4974076.4773345
0,28,0,2,1,2,5,1314268.94688486,5266581.77754624
0,14,4,1,0,0,5,1784872.37856088,7893830.2140103
0,26,0,3,1,5,9,2508425.20665886,8204558.6483271
0,28,4,0,2,1,7,1935458.01342763,6525777.38467185
0,26,1,0,1,2,4,1618859.69844698,4383800.57506792
0,29,0,2,0,2,4,1540013.09609714,5755137.56654593
1,30,1,1,1,4,7,1814729.7489764,5513723.95998542
0,38,0,3,1,6,10,1844795.55186766,6260614.00560201
0,16,3,0,1,3,7,1967913.26192574,6280145.42780666
0,29,2,3,0,0,5,1568857.42995044,4025213.89329965
0,17,0,2,1,3,6,1639559.42346369,4905701.04428661
0,35,4,2,1,0,7,1697295.33583838,6257996.34166864
0,22,3,1,2,7,13,1892405.20220668,6508109.26821646
0,40,1,0,1,3,5,1355196.23857201,5159825.51836969
0,23,1,2,1,0,4,1422185.64055648,5296876.93412599
0,38,5,3,1,7,16,2020986.11012674,9956902.44214798
0,31,6,3,0,1,10,1776593.00788465,6211398.16954475
0,10,1,2,0,1,4,1269099.05404549,2946659.50761869
1,19,6,1,2,7,16,2765564.49813933,6045831.07699591
1,23,1,3,1,1,6,1760625.2396157,3974696.19152408
0,35,3,2,2,4,11,1888083.87616454,6700314.72696762
0,21,0,0,0,1,1,1008103.74542363,4698028.94535057
1,30,5,3,1,2,11,2375018.97574803,5129445.86476699
0,13,4,3,1,1,9,1939212.80398357,7252503.9889379
1,14,5,3,1,0,9,1728341.7523261,7962672.84216024
0,36,4,3,1,4,12,1772588.90542239,7027587.77105204
0,35,2,2,1,7,12,2263106.88544466,6177920.97908771
1,26,5,0,1,3,9,2757386.66832348,5642423.05919956
0,29,0,1,0,2,3,1789195.09871779,3839162.10201896
0,30,5,2,0,7,14,1815873.68278916,5932911.03290216
0,36,5,0,0,4,9,2249490.8275479,6643171.46019261
0,36,3,1,2,2,8,1732878.97291391,8948951.54444472
0,38,6,0,2,3,11,1759849.55212288,11078029.95489
1,29,0,1,0,5,6,1591725.227282,6402820.21682746
0,19,2,2,1,4,9,1622472.58989311,2219173.25544131
1,26,5,3,0,2,10,2020546.71797277,9396415.66123557
0,28,1,0,2,6,9,1794097.96448822,4166023.55816226
0,21,3,1,2,7,13,2275104.19241997,5696307.53959784
0,40,1,1,1,7,10,1908898.0289454,10762391.7736705
0,36,4,2,2,1,9,2198797.79695731,4679700.69960066
0,33,2,3,2,1,8,1890627.77266221,6473046.8356579
1,21,6,2,2,1,11,2335176.41269008,4256733.26668317
0,34,5,3,1,3,12,1962085.59581977,10534721.5675715
1,17,1,0,0,3,4,1404443.98076583,3946740.12106308
1,39,2,2,2,6,12,2056469.61007145,6758051.91173017
0,27,3,2,0,6,11,2817280.88147803,7295529.93444488
0,32,3,3,2,1,9,1976396.69036109,7772202.72083977
0,31,3,1,0,2,6,1896891.4895252,3421218.74039005
1,13,5,0,0,7,12,2565872.76934815,8434025.52662461
0,13,2,3,2,6,13,2200643.86228649,8660557.1809106
0,20,6,2,0,5,13,2009393.83464406,5644051.39643604
0,15,0,2,1,0,3,1172507.65663001,1912502.46081738
1,26,5,3,1,3,12,1944003.79498839,4805329.86175385
0,33,5,1,1,1,8,2051880.18523939,6459058.92991719
0,31,3,3,2,1,9,1839760.37829174,5132806.91559934
0,37,2,2,2,2,8,2072273.8594923,5884082.13769541
1,24,0,3,0,5,8,2208318.36078943,4430795.49795817
0,28,0,0,0,7,7,1628055.54996819,4655662.92960564
0,31,2,3,0,5,10,1572585.12677325,4864070.65613999
